time,current,voltage,soc_true
0,0.6506535000000001,4.02376,0.799943
1,0.6403467,4.0239,0.799886
2,0.42596505,4.03388,0.799849
3,0.41782230000000004,4.03406,0.799812
4,0.48159195,4.03078,0.799769
5,0.2757993,4.04045,0.799745
6,0.32004735,4.0382,0.799717
7,0.22034670000000003,4.04285,0.799697
8,1.0445484,4.00306,0.799605
9,0.49914795,4.0288,0.799561
10,0.4343745,4.03169,0.799523
11,0.342468,4.03593,0.799493
12,0.48659415,4.02885,0.79945
13,1.0443741,4.00177,0.799358
14,0.79931355,4.01307,0.799287
15,0.5454823500000001,4.02493,0.799239
16,0.8374978500000001,4.01064,0.799165
17,0.635649,4.01999,0.799109
18,0.29696310000000004,4.03605,0.799083
19,0.9787029,4.00314,0.798997
20,0.58029195,4.02189,0.798946
21,0.9370347000000001,4.00449,0.798863
22,0.6782958,4.01655,0.798803
23,0.58512195,4.02079,0.798751
24,0.7581252,4.01225,0.798685
25,0.5361363,4.02266,0.798637
26,0.9963786,4.00032,0.798549
27,0.51715755,4.023,0.798504
28,0.9958735500000001,3.99979,0.798416
29,0.5462667,4.02105,0.798368
30,0.8924349,4.00422,0.798289
31,0.5346306,4.02113,0.798242
32,0.72789465,4.01168,0.798178
33,0.6419091000000001,4.01559,0.798121
34,0.31682384999999996,4.03107,0.798093
35,0.8196258,4.00684,0.798021
36,0.64479345,4.01498,0.797964
37,0.5706162,4.01838,0.797914
38,0.5062323,4.02134,0.797869
39,1.0205023500000001,3.99647,0.797779
40,0.4058439,4.0257,0.797743
41,0.49916055000000004,4.02117,0.797699
42,0.77665875,4.00772,0.797631
43,0.42012285,4.02466,0.797594
44,0.4935693,4.02108,0.79755
45,0.7453236000000001,4.00888,0.797485
46,0.62385015,4.01451,0.79743
47,0.8952384000000001,4.00129,0.797351
48,0.7554981000000001,4.00773,0.797284
49,0.88358025,4.00135,0.797206
50,0.25155585,4.03153,0.797184
51,0.7526925,4.00746,0.797118
52,0.6288439499999999,4.01322,0.797062
53,0.6747090000000001,4.01088,0.797003
54,0.82570635,4.00345,0.79693
55,0.9486088500000001,3.9973,0.796846
56,0.9523888500000001,3.99682,0.796762
57,0.2410107,4.0308,0.796741
58,0.6703788,4.01021,0.796682
59,0.3188934,4.02701,0.796654
60,0.88681635,3.9997,0.796575
61,1.0239306000000001,3.99284,0.796485
62,0.48768405000000004,4.01835,0.796442
63,0.99075585,3.99408,0.796355
64,0.9847645500000001,3.99407,0.796268
65,0.45855914999999997,4.01912,0.796228
66,0.56993685,4.01375,0.796177
67,0.7347564,4.00575,0.796112
68,0.8829103500000001,3.99846,0.796035
69,0.5294793,4.01525,0.795988
70,0.7337379,4.00537,0.795923
71,0.53648385,4.01473,0.795876
72,0.9931750500000001,3.99269,0.795788
73,0.6514662,4.00886,0.795731
74,0.87434235,3.99803,0.795654
75,0.43873935000000003,4.0188,0.795615
76,0.3771831,4.02179,0.795582
77,0.67158315,4.00766,0.795523
78,0.8554308,3.9987,0.795447
79,0.76837845,4.00269,0.795379
80,0.5476390500000001,4.01317,0.795331
81,0.6189550500000001,4.0097,0.795277
82,0.49411740000000004,4.01564,0.795233
83,0.47589675000000004,4.01652,0.795191
84,0.5798835000000001,4.01151,0.79514
85,0.21429555,4.02907,0.795121
86,0.67166715,4.00719,0.795062
87,0.3289167,4.02359,0.795033
88,0.9891126,3.99187,0.794945
89,0.69033195,4.00598,0.794885
90,0.393561,4.02016,0.79485
91,0.50946735,4.01463,0.794805
92,0.9984660000000001,3.99105,0.794717
93,0.8619187500000001,3.99735,0.794641
94,0.9231211500000001,3.99419,0.79456
95,0.87480435,3.99629,0.794482
96,0.8585934000000001,3.99686,0.794407
97,0.51196845,4.01337,0.794362
98,0.70305795,4.00416,0.7943
99,0.60894015,4.00859,0.794246
100,0.26693625,4.02501,0.794222
101,0.222306,4.0273,0.794203
102,0.43393665000000003,4.01726,0.794164
103,0.26847345,4.02526,0.794141
104,0.40566120000000006,4.01878,0.794105
105,0.64949115,4.00707,0.794048
106,0.33204360000000005,4.02228,0.794018
107,0.37822575,4.02014,0.793985
108,0.9480208500000001,3.99274,0.793901
109,1.00457805,3.98975,0.793813
110,1.03131105,3.98818,0.793722
111,0.3277239,4.02178,0.793693
112,0.94198335,3.99228,0.79361
113,0.63547785,4.0068,0.793554
114,0.4643436,4.01498,0.793513
115,0.6530496,4.00591,0.793455
116,0.4704231,4.01462,0.793414
117,0.8946357,3.9942,0.793335
118,1.02392325,3.98775,0.793245
119,0.9362640000000001,3.99169,0.793162
120,0.28048965000000003,4.02305,0.793137
121,0.4243386,4.01625,0.7931
122,0.88648875,3.99404,0.793022
123,0.3762633,4.01841,0.792989
124,0.6035127,4.00754,0.792935
125,0.8177337,3.99716,0.792863
126,0.56092155,4.00937,0.792814
127,0.39865245,4.01716,0.792779
128,0.9209109000000001,3.99206,0.792697
129,0.3843105,4.01769,0.792664
130,0.30495360000000005,4.02158,0.792637
131,0.35296065,4.01938,0.792606
132,0.28410375000000004,4.02278,0.792581
133,0.95399325,3.99062,0.792496
134,0.27594315,4.02304,0.792472
135,0.32391135000000004,4.02085,0.792444
136,0.98022225,3.98932,0.792357
137,0.8264529,3.99646,0.792284
138,0.5897262000000001,4.00768,0.792232
139,0.24546060000000003,4.02422,0.792211
140,0.9124416000000001,3.99222,0.79213
141,0.39205425000000005,4.01707,0.792096
142,0.8910174000000001,3.99308,0.792017
143,0.77395395,3.99851,0.791949
144,1.0455459,3.98527,0.791856
145,0.8139064500000001,3.99613,0.791785
146,0.2469684,4.02328,0.791763
147,0.9212322000000001,3.99095,0.791682
148,0.9175425,3.9909,0.791601
149,0.7225722,4.00007,0.791537
150,0.5759019000000001,4.00703,0.791486
151,0.32795175,4.01895,0.791457
152,0.41755035,4.01474,0.791421
153,0.6530013,4.00345,0.791363
154,0.5726794500000001,4.00724,0.791312
155,0.6523545000000001,4.00337,0.791255
156,0.9742656000000001,3.98778,0.791169
157,0.29926365000000005,4.02005,0.791143
158,0.22549275000000002,4.02373,0.791123
159,0.27613530000000003,4.02144,0.791098
160,0.97671105,3.98782,0.791012
161,0.8648766,3.99294,0.790936
162,0.31343025,4.01931,0.790908
163,0.29025255,4.02054,0.790883
164,0.486843,4.01119,0.79084
165,0.63132825,4.00423,0.790784
166,0.35854245,4.0173,0.790753
167,0.58011135,4.0067,0.790701
168,0.44000985000000004,4.01341,0.790663
169,0.7301049000000001,3.99946,0.790598
170,0.85205925,3.99345,0.790523
171,0.28896105,4.02038,0.790498
172,0.75650295,3.99797,0.790431
173,0.8651055000000001,3.99259,0.790355
174,0.5154324,4.00924,0.790309
175,0.211764,4.02386,0.79029
176,0.3476676,4.01747,0.79026
177,0.37325820000000004,4.01631,0.790227
178,0.6066585,4.00513,0.790173
179,0.9849924000000001,3.98683,0.790087
180,0.76214145,3.99729,0.790019
181,0.43558935000000004,4.01288,0.789981
182,1.03786095,3.98389,0.789889
183,0.65182635,4.00219,0.789832
184,0.7993356,3.995,0.789761
185,0.47792535,4.01032,0.789719
186,0.9937326000000001,3.98548,0.789632
187,0.29366925000000005,4.01894,0.789606
188,0.6086661000000001,4.00388,0.789552
189,0.493164,4.00939,0.789509
190,0.3342927,4.01705,0.789479
191,0.5726868,4.00566,0.789429
192,0.9276540000000001,3.98851,0.789347
193,0.2611665,4.02039,0.789324
194,1.0473225,3.98264,0.789231
195,0.39547725,4.01374,0.789197
196,0.5121249,4.00818,0.789151
197,1.0379103,3.98284,0.78906
198,0.360717,4.01517,0.789028
199,0.3305001,4.01671,0.788999
200,0.59029215,4.00429,0.788947
201,0.35996205,4.01533,0.788915
202,0.7125993,3.99842,0.788852
203,0.41921985,4.01243,0.788815
204,0.88773405,3.9899,0.788737
205,0.8135190000000001,3.99326,0.788665
206,0.33658905,4.01606,0.788636
207,0.2286606,4.02135,0.788615
208,0.24434235,4.02074,0.788594
209,0.7768656,3.99522,0.788525
210,0.7932298500000001,3.99427,0.788455
211,0.66919545,4.00007,0.788396
212,1.02553395,3.98281,0.788306
213,0.60116805,4.00296,0.788253
214,0.3817968,4.01347,0.788219
215,0.29543955,4.0177,0.788193
216,0.8649228000000001,3.99037,0.788117
217,0.22350615000000001,4.02107,0.788097
218,0.8447103,3.99129,0.788023
219,0.31099214999999997,4.0168,0.787995
220,0.2343117,4.0206,0.787975
221,0.21156975000000003,4.02183,0.787956
222,0.7651812,3.99531,0.787889
223,1.02399675,3.98268,0.787798
224,0.40435920000000003,4.01223,0.787763
225,0.21598185,4.02135,0.787744
226,0.6004320000000001,4.00297,0.787691
227,0.7308315000000001,3.99662,0.787626
228,0.9861505500000001,3.98418,0.787539
229,0.3911019,4.01257,0.787505
230,0.26239290000000004,4.01882,0.787482
231,0.30397605,4.01694,0.787455
232,0.3579996,4.01443,0.787423
233,0.9286011000000001,3.987,0.787341
234,0.5415826499999999,4.00539,0.787294
235,0.9773095500000001,3.98436,0.787207
236,0.86508765,3.98949,0.787131
237,0.5540997000000001,4.00426,0.787082
238,0.78479415,3.99311,0.787013
239,0.65742495,3.99908,0.786955
240,0.5817840000000001,4.00263,0.786904
241,0.9357033,3.98553,0.786821
242,0.48073410000000005,4.00721,0.786779
243,0.27540030000000004,4.01711,0.786755
244,0.38848109999999997,4.01179,0.78672
245,0.3651144,4.01297,0.786688
246,0.39409545000000007,4.01164,0.786653
247,0.34493130000000005,4.01405,0.786623
248,0.3835272,4.01227,0.786589
249,0.296184,4.01653,0.786563
250,0.37528155,4.01281,0.78653
251,0.5332677000000001,4.00525,0.786483
252,0.4311405,4.01013,0.786445
253,0.9770733,3.98384,0.786359
254,0.6085821,4.00131,0.786305
