time,current,voltage,soc_true
0,0.61967,4.02376,0.799943
1,0.609854,4.0239,0.799886
2,0.405681,4.03388,0.799849
3,0.397926,4.03406,0.799812
4,0.458659,4.03078,0.799769
5,0.262666,4.04045,0.799745
6,0.304807,4.0382,0.799717
7,0.209854,4.04285,0.799697
8,0.994808,4.00306,0.799605
9,0.475379,4.0288,0.799561
10,0.41369,4.03169,0.799523
11,0.32616,4.03593,0.799493
12,0.463423,4.02885,0.79945
13,0.994642,4.00177,0.799358
14,0.761251,4.01307,0.799287
15,0.519507,4.02493,0.799239
16,0.797617,4.01064,0.799165
17,0.60538,4.01999,0.799109
18,0.282822,4.03605,0.799083
19,0.932098,4.00314,0.798997
20,0.552659,4.02189,0.798946
21,0.892414,4.00449,0.798863
22,0.645996,4.01655,0.798803
23,0.557259,4.02079,0.798751
24,0.722024,4.01225,0.798685
25,0.510606,4.02266,0.798637
26,0.948932,4.00032,0.798549
27,0.492531,4.023,0.798504
28,0.948451,3.99979,0.798416
29,0.520254,4.02105,0.798368
30,0.849938,4.00422,0.798289
31,0.509172,4.02113,0.798242
32,0.693233,4.01168,0.798178
33,0.611342,4.01559,0.798121
34,0.301737,4.03107,0.798093
35,0.780596,4.00684,0.798021
36,0.614089,4.01498,0.797964
37,0.543444,4.01838,0.797914
38,0.482126,4.02134,0.797869
39,0.971907,3.99647,0.797779
40,0.386518,4.0257,0.797743
41,0.475391,4.02117,0.797699
42,0.739675,4.00772,0.797631
43,0.400117,4.02466,0.797594
44,0.470066,4.02108,0.79755
45,0.709832,4.00888,0.797485
46,0.594143,4.01451,0.79743
47,0.852608,4.00129,0.797351
48,0.719522,4.00773,0.797284
49,0.841505,4.00135,0.797206
50,0.239577,4.03153,0.797184
51,0.71685,4.00746,0.797118
52,0.598899,4.01322,0.797062
53,0.64258,4.01088,0.797003
54,0.786387,4.00345,0.79693
55,0.903437,3.9973,0.796846
56,0.907037,3.99682,0.796762
57,0.229534,4.0308,0.796741
58,0.638456,4.01021,0.796682
59,0.303708,4.02701,0.796654
60,0.844587,3.9997,0.796575
61,0.975172,3.99284,0.796485
62,0.464461,4.01835,0.796442
63,0.943577,3.99408,0.796355
64,0.937871,3.99407,0.796268
65,0.436723,4.01912,0.796228
66,0.542797,4.01375,0.796177
67,0.699768,4.00575,0.796112
68,0.840867,3.99846,0.796035
69,0.504266,4.01525,0.795988
70,0.698798,4.00537,0.795923
71,0.510937,4.01473,0.795876
72,0.945881,3.99269,0.795788
73,0.620444,4.00886,0.795731
74,0.832707,3.99803,0.795654
75,0.417847,4.0188,0.795615
76,0.359222,4.02179,0.795582
77,0.639603,4.00766,0.795523
78,0.814696,3.9987,0.795447
79,0.731789,4.00269,0.795379
80,0.521561,4.01317,0.795331
81,0.589481,4.0097,0.795277
82,0.470588,4.01564,0.795233
83,0.453235,4.01652,0.795191
84,0.55227,4.01151,0.79514
85,0.204091,4.02907,0.795121
86,0.639683,4.00719,0.795062
87,0.313254,4.02359,0.795033
88,0.942012,3.99187,0.794945
89,0.657459,4.00598,0.794885
90,0.37482,4.02016,0.79485
91,0.485207,4.01463,0.794805
92,0.95092,3.99105,0.794717
93,0.820875,3.99735,0.794641
94,0.879163,3.99419,0.79456
95,0.833147,3.99629,0.794482
96,0.817708,3.99686,0.794407
97,0.487589,4.01337,0.794362
98,0.669579,4.00416,0.7943
99,0.579943,4.00859,0.794246
100,0.254225,4.02501,0.794222
101,0.21172,4.0273,0.794203
102,0.413273,4.01726,0.794164
103,0.255689,4.02526,0.794141
104,0.386344,4.01878,0.794105
105,0.618563,4.00707,0.794048
106,0.316232,4.02228,0.794018
107,0.360215,4.02014,0.793985
108,0.902877,3.99274,0.793901
109,0.956741,3.98975,0.793813
110,0.982201,3.98818,0.793722
111,0.312118,4.02178,0.793693
112,0.897127,3.99228,0.79361
113,0.605217,4.0068,0.793554
114,0.442232,4.01498,0.793513
115,0.621952,4.00591,0.793455
116,0.448022,4.01462,0.793414
117,0.852034,3.9942,0.793335
118,0.975165,3.98775,0.793245
119,0.89168,3.99169,0.793162
120,0.267133,4.02305,0.793137
121,0.404132,4.01625,0.7931
122,0.844275,3.99404,0.793022
123,0.358346,4.01841,0.792989
124,0.574774,4.00754,0.792935
125,0.778794,3.99716,0.792863
126,0.534211,4.00937,0.792814
127,0.379669,4.01716,0.792779
128,0.877058,3.99206,0.792697
129,0.36601,4.01769,0.792664
130,0.290432,4.02158,0.792637
131,0.336153,4.01938,0.792606
132,0.270575,4.02278,0.792581
133,0.908565,3.99062,0.792496
134,0.262803,4.02304,0.792472
135,0.308487,4.02085,0.792444
136,0.933545,3.98932,0.792357
137,0.787098,3.99646,0.792284
138,0.561644,4.00768,0.792232
139,0.233772,4.02422,0.792211
140,0.868992,3.99222,0.79213
141,0.373385,4.01707,0.792096
142,0.848588,3.99308,0.792017
143,0.737099,3.99851,0.791949
144,0.995758,3.98527,0.791856
145,0.775149,3.99613,0.791785
146,0.235208,4.02328,0.791763
147,0.877364,3.99095,0.791682
148,0.87385,3.9909,0.791601
149,0.688164,4.00007,0.791537
150,0.548478,4.00703,0.791486
151,0.312335,4.01895,0.791457
152,0.397667,4.01474,0.791421
153,0.621906,4.00345,0.791363
154,0.545409,4.00724,0.791312
155,0.62129,4.00337,0.791255
