time,SOC_true,SOC_kf,SOC_fgo
0,0.5,0.500152,0.5
1,0.500154,0.500306,0.500091
2,0.500309,0.500457,0.500184
3,0.500463,0.500639,0.500275
4,0.500617,0.500782,0.500373
5,0.500772,0.500946,0.500465
6,0.500926,0.501102,0.500559
7,0.50108,0.501242,0.500653
8,0.501235,0.501404,0.500745
9,0.501389,0.50154,0.500838
10,0.501543,0.501723,0.50093
11,0.501698,0.501816,0.501026
12,0.501852,0.502025,0.501115
13,0.502006,0.502167,0.501211
14,0.50216,0.502332,0.501304
15,0.502315,0.502462,0.501398
16,0.502469,0.502576,0.50149
17,0.502623,0.502865,0.501581
18,0.502778,0.503009,0.50168
19,0.502932,0.503195,0.501774
20,0.503086,0.503306,0.501868
21,0.503241,0.503427,0.50196
22,0.503395,0.503574,0.502053
23,0.503549,0.503698,0.502146
24,0.503704,0.50379,0.502239
25,0.503858,0.50397,0.50233
26,0.504012,0.504216,0.502424
27,0.504167,0.504287,0.50252
28,0.504321,0.504458,0.502612
29,0.504475,0.504438,0.502706
30,0.50463,0.504607,0.502795
31,0.504784,0.504956,0.502889
32,0.504938,0.505189,0.502987
33,0.505093,0.505315,0.503082
34,0.505247,0.505673,0.503175
35,0.505401,0.505967,0.503272
36,0.505556,0.506404,0.503369
37,0.50571,0.506632,0.503467
38,0.505864,0.506904,0.503562
39,0.506019,0.507113,0.503658
40,0.506173,0.507378,0.503752
41,0.506327,0.507321,0.503848
42,0.506481,0.507637,0.503939
43,0.506636,0.507742,0.504035
44,0.50679,0.507936,0.504128
45,0.506944,0.508009,0.504222
46,0.507099,0.507901,0.504315
47,0.507253,0.508164,0.504406
48,0.507407,0.508346,0.504501
49,0.507562,0.508424,0.504595
50,0.507716,0.509092,0.504688
51,0.50787,0.509334,0.504788
52,0.508025,0.509736,0.504883
53,0.508179,0.509672,0.504979
54,0.508333,0.50991,0.505071
55,0.508488,0.509772,0.505166
56,0.508642,0.510336,0.505257
57,0.508796,0.510684,0.505355
58,0.508951,0.510307,0.50545
59,0.509105,0.510446,0.505539
60,0.509259,0.510316,0.505633
61,0.509414,0.510688,0.505724
62,0.509568,0.51069,0.50582
63,0.509722,0.510443,0.505913
64,0.509877,0.510781,0.506003
65,0.510031,0.510977,0.506099
66,0.510185,0.511538,0.506193
67,0.51034,0.511838,0.50629
68,0.510494,0.512229,0.506386
69,0.510648,0.51292,0.506482
70,0.510802,0.513222,0.50658
71,0.510957,0.51357,0.506675
72,0.511111,0.513562,0.50677
73,0.511265,0.513346,0.506863
74,0.51142,0.513428,0.506955
75,0.511574,0.513706,0.507048
76,0.511728,0.514502,0.507143
77,0.511883,0.514804,0.507242
78,0.512037,0.514665,0.507337
79,0.512191,0.515491,0.507429
80,0.512346,0.515298,0.507527
81,0.5125,0.515444,0.507619
82,0.512654,0.515658,0.507713
83,0.512809,0.51614,0.507808
84,0.512963,0.516649,0.507904
85,0.513117,0.516622,0.508
86,0.513272,0.516808,0.508093
87,0.513426,0.517293,0.508187
88,0.51358,0.51705,0.508284
89,0.513735,0.516678,0.508375
90,0.513889,0.516346,0.508466
91,0.514043,0.515955,0.508558
92,0.514198,0.516237,0.508649
93,0.514352,0.517017,0.508744
94,0.514506,0.517829,0.508841
95,0.51466,0.517958,0.508939
96,0.514815,0.517839,0.509033
97,0.514969,0.517916,0.509126
98,0.515123,0.517457,0.509219
99,0.515278,0.517869,0.50931
100,0.515432,0.517151,0.509406
101,0.515586,0.517664,0.509495
102,0.515741,0.517345,0.509591
103,0.515895,0.517496,0.509683
104,0.516049,0.517286,0.509777
105,0.516204,0.518015,0.509869
106,0.516358,0.517966,0.509966
107,0.516512,0.51825,0.51006
108,0.516667,0.518159,0.510154
109,0.516821,0.518155,0.510247
110,0.516975,0.518241,0.510341
111,0.51713,0.518184,0.510434
112,0.517284,0.517507,0.510528
113,0.517438,0.518761,0.510618
114,0.517593,0.518658,0.510717
115,0.517747,0.519542,0.51081
116,0.517901,0.518319,0.510908
117,0.518056,0.518183,0.510995
118,0.51821,0.517816,0.511088
119,0.518364,0.518047,0.51118
120,0.518519,0.517864,0.511275
121,0.518673,0.516714,0.511367
122,0.518827,0.516602,0.511455
123,0.518981,0.517446,0.511548
124,0.519136,0.518479,0.511645
125,0.51929,0.519629,0.511743
126,0.519444,0.520244,0.511842
127,0.519599,0.520606,0.511938
128,0.519753,0.521093,0.512033
129,0.519907,0.520504,0.512129
130,0.520062,0.520079,0.51222
131,0.520216,0.519842,0.512312
132,0.52037,0.520335,0.512404
133,0.520525,0.519746,0.5125
134,0.520679,0.519367,0.512591
135,0.520833,0.519656,0.512683
136,0.520988,0.518182,0.512778
137,0.521142,0.518195,0.512865
138,0.521296,0.518177,0.512959
139,0.521451,0.518248,0.513052
140,0.521605,0.518475,0.513146
141,0.521759,0.51994,0.51324
142,0.521914,0.519948,0.51334
143,0.522068,0.520803,0.513433
144,0.522222,0.520612,0.51353
145,0.522377,0.520337,0.513623
146,0.522531,0.519878,0.513716
147,0.522685,0.520728,0.513807
148,0.52284,0.521468,0.513904
149,0.522994,0.52174,0.514001
150,0.523148,0.521986,0.514095
151,0.523302,0.52227,0.51419
152,0.523457,0.52188,0.514285
153,0.523611,0.521395,0.514377
154,0.523765,0.521107,0.514469
155,0.52392,0.520848,0.514561
156,0.524074,0.520263,0.514654
157,0.524228,0.520854,0.514746
158,0.524383,0.521367,0.514841
159,0.524537,0.520984,0.514937
160,0.524691,0.521374,0.515029
161,0.524846,0.522166,0.515124
162,0.525,0.523273,0.515221
163,0.525154,0.524454,0.515318
164,0.525309,0.524118,0.515416
165,0.525463,0.523568,0.515508
166,0.525617,0.523615,0.5156
167,0.525772,0.523974,0.515694
168,0.525926,0.523557,0.515789
169,0.52608,0.523391,0.515882
170,0.526235,0.52365,0.515975
171,0.526389,0.522921,0.516069
172,0.526543,0.523239,0.516161
173,0.526698,0.523433,0.516256
174,0.526852,0.52443,0.51635
175,0.527006,0.525031,0.516447
176,0.52716,0.525678,0.516543
177,0.527315,0.526311,0.516638
178,0.527469,0.525769,0.516734
179,0.527623,0.525355,0.516826
180,0.527778,0.525321,0.516919
181,0.527932,0.524205,0.517013
182,0.528086,0.522755,0.517103
183,0.528241,0.523839,0.517192
184,0.528395,0.524951,0.517289
185,0.528549,0.524448,0.517387
186,0.528704,0.525027,0.517479
187,0.528858,0.524816,0.517575
188,0.529012,0.525569,0.517668
189,0.529167,0.526987,0.517764
190,0.529321,0.526995,0.517862
191,0.529475,0.526256,0.517956
192,0.52963,0.526347,0.518048
193,0.529784,0.526457,0.518142
194,0.529938,0.526292,0.518236
195,0.530093,0.526723,0.518329
196,0.530247,0.525328,0.518424
197,0.530401,0.525317,0.518514
198,0.530556,0.525982,0.518608
199,0.53071,0.525818,0.518704
200,0.530864,0.527389,0.518797
201,0.531019,0.527424,0.518896
202,0.531173,0.527731,0.51899
203,0.531327,0.528965,0.519084
204,0.531481,0.53054,0.519182
205,0.531636,0.530459,0.51928
206,0.53179,0.531274,0.519374
207,0.531944,0.531703,0.51947
208,0.532099,0.532247,0.519566
209,0.532253,0.532542,0.519661
210,0.532407,0.532736,0.519756
211,0.532562,0.53263,0.519851
212,0.532716,0.532932,0.519944
213,0.53287,0.533254,0.520039
214,0.533025,0.534848,0.520134
215,0.533179,0.536256,0.520233
216,0.533333,0.536848,0.52033
217,0.533488,0.536789,0.520426
218,0.533642,0.536434,0.52052
219,0.533796,0.536851,0.520613
220,0.533951,0.536634,0.520709
221,0.534105,0.537634,0.520802
222,0.534259,0.538809,0.520899
223,0.534414,0.536526,0.520996
224,0.534568,0.536465,0.521085
225,0.534722,0.536373,0.521179
226,0.534877,0.536775,0.521273
227,0.535031,0.538554,0.521368
228,0.535185,0.537318,0.521467
229,0.53534,0.53718,0.521558
230,0.535494,0.537658,0.521652
231,0.535648,0.53628,0.521747
232,0.535802,0.535644,0.521838
233,0.535957,0.535584,0.52193
234,0.536111,0.536112,0.522024
235,0.536265,0.535466,0.52212
236,0.53642,0.534537,0.522212
237,0.536574,0.534934,0.522304
238,0.536728,0.534779,0.522399
239,0.536883,0.534722,0.522493
240,0.537037,0.535565,0.522587
241,0.537191,0.535355,0.522683
242,0.537346,0.535006,0.522777
243,0.5375,0.537188,0.52287
244,0.537654,0.53769,0.52297
245,0.537809,0.539476,0.523065
246,0.537963,0.540314,0.523164
247,0.538117,0.539044,0.52326
248,0.538272,0.540304,0.523351
249,0.538426,0.540782,0.523449
250,0.53858,0.540569,0.523544
251,0.538735,0.540658,0.523638
252,0.538889,0.540637,0.523732
253,0.539043,0.542381,0.523827
254,0.539198,0.542883,0.523925
255,0.539352,0.54496,0.524021
256,0.539506,0.5448,0.52412
257,0.53966,0.543609,0.524214
258,0.539815,0.544259,0.524306
259,0.539969,0.544804,0.524401
260,0.540123,0.543206,0.524497
261,0.540278,0.543746,0.524588
262,0.540432,0.543886,0.524683
263,0.540586,0.544775,0.524778
264,0.540741,0.543321,0.524875
265,0.540895,0.544337,0.524966
266,0.541049,0.544396,0.525062
267,0.541204,0.54526,0.525157
268,0.541358,0.545138,0.525253
