time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799991
1,0.799886,0.799883,0.804448
2,0.799849,0.799823,0.808635
3,0.799812,0.799784,0.812587
4,0.799769,0.799745,0.8163
5,0.799745,0.799701,0.819781
6,0.799717,0.799675,0.82307
7,0.799697,0.799646,0.826155
8,0.799605,0.799625,0.829062
9,0.799561,0.799528,0.831712
10,0.799523,0.799482,0.834244
11,0.799493,0.799442,0.836626
12,0.79945,0.79941,0.838869
13,0.799358,0.799365,0.84096
14,0.799287,0.799269,0.842863
15,0.799239,0.799195,0.844665
16,0.799165,0.799144,0.846375
17,0.799109,0.799066,0.847947
18,0.799083,0.799008,0.849435
19,0.798997,0.79898,0.850859
20,0.798946,0.79889,0.852127
21,0.798863,0.798836,0.853348
22,0.798803,0.798749,0.854453
23,0.798751,0.798686,0.855506
24,0.798685,0.798632,0.856498
25,0.798637,0.798562,0.857407
26,0.798549,0.798512,0.858275
27,0.798504,0.79842,0.859039
28,0.798416,0.798372,0.859794
29,0.798368,0.79828,0.860451
30,0.798289,0.798229,0.861102
31,0.798242,0.798147,0.861675
32,0.798178,0.798097,0.862239
33,0.798121,0.79803,0.862745
34,0.798093,0.79797,0.863222
35,0.798021,0.797941,0.863696
36,0.797964,0.797865,0.864089
37,0.797914,0.797805,0.864467
38,0.797869,0.797753,0.864824
39,0.797779,0.797706,0.86516
40,0.797743,0.797611,0.86542
41,0.797699,0.797574,0.865715
42,0.797631,0.797527,0.86598
43,0.797594,0.797455,0.866196
44,0.79755,0.797417,0.866427
45,0.797485,0.797371,0.866633
46,0.79743,0.797302,0.866797
47,0.797351,0.797244,0.866956
48,0.797284,0.797161,0.867073
49,0.797206,0.797091,0.867187
50,0.797184,0.797009,0.867275
51,0.797118,0.796986,0.867411
52,0.797062,0.796916,0.867488
53,0.797003,0.796858,0.867566
54,0.79693,0.796796,0.867628
55,0.796846,0.796719,0.867667
56,0.796762,0.796631,0.867683
57,0.796741,0.796543,0.867689
58,0.796682,0.796521,0.867756
59,0.796654,0.796459,0.867776
60,0.796575,0.796429,0.867823
61,0.796485,0.796347,0.867811
62,0.796442,0.796252,0.867777
63,0.796355,0.796207,0.867789
64,0.796268,0.796116,0.867748
65,0.796228,0.796024,0.867701
66,0.796177,0.795982,0.8677
67,0.796112,0.795929,0.867686
68,0.796035,0.795861,0.867653
69,0.795988,0.795779,0.867602
70,0.795923,0.79573,0.867582
71,0.795876,0.795662,0.86754
72,0.795788,0.795613,0.867515
73,0.795731,0.795521,0.867443
74,0.795654,0.79546,0.867402
75,0.795615,0.795379,0.867337
76,0.795582,0.795339,0.867313
77,0.795523,0.795304,0.867296
78,0.795447,0.795242,0.867249
79,0.795379,0.795163,0.867183
80,0.795331,0.795091,0.867124
81,0.795277,0.795041,0.867085
82,0.795233,0.794983,0.867039
83,0.795191,0.794938,0.867005
84,0.79514,0.794894,0.866972
85,0.795121,0.79484,0.86693
86,0.795062,0.79482,0.866923
87,0.795033,0.794758,0.866873
88,0.794945,0.794727,0.866855
89,0.794885,0.794636,0.866772
90,0.79485,0.794572,0.866716
91,0.794805,0.794535,0.866688
92,0.794717,0.794488,0.86665
93,0.794641,0.794396,0.866562
94,0.79456,0.794316,0.866486
95,0.794482,0.794231,0.866403
96,0.794407,0.79415,0.866323
97,0.794362,0.79407,0.866244
98,0.7943,0.794023,0.866198
99,0.794246,0.793958,0.866135
100,0.794222,0.793901,0.866082
101,0.794203,0.793876,0.866063
102,0.794164,0.793856,0.866051
103,0.794141,0.793816,0.866021
104,0.794105,0.793791,0.866007
105,0.794048,0.793753,0.865981
106,0.794018,0.793693,0.865932
107,0.793985,0.793662,0.865912
108,0.793901,0.793627,0.865888
109,0.793813,0.79354,0.865809
110,0.793722,0.793447,0.865721
111,0.793693,0.793351,0.865628
112,0.79361,0.793321,0.865602
113,0.793554,0.793233,0.865517
114,0.793513,0.793175,0.86546
115,0.793455,0.793132,0.865421
116,0.793414,0.793071,0.865364
117,0.793335,0.793028,0.865324
118,0.793245,0.792945,0.865244
119,0.793162,0.79285,0.86515
120,0.793137,0.792763,0.865063
121,0.7931,0.792737,0.865039
122,0.793022,0.792698,0.865004
123,0.792989,0.792616,0.864925
124,0.792935,0.792581,0.864896
125,0.792863,0.792525,0.864846
126,0.792814,0.792449,0.864775
127,0.792779,0.792398,0.864729
128,0.792697,0.792361,0.8647
129,0.792664,0.792275,0.864621
130,0.792637,0.79224,0.864594
131,0.792606,0.792212,0.864576
132,0.792581,0.792179,0.864555
133,0.792496,0.792153,0.864542
134,0.792472,0.792064,0.864465
135,0.792444,0.792039,0.864451
136,0.792357,0.792009,0.864434
137,0.792284,0.791918,0.864354
138,0.792232,0.791841,0.864285
139,0.792211,0.791787,0.864239
140,0.79213,0.791764,0.864226
141,0.792096,0.79168,0.86415
142,0.792017,0.791643,0.864122
143,0.791949,0.791561,0.864046
144,0.791856,0.791489,0.86398
145,0.791785,0.791392,0.863887
146,0.791763,0.791317,0.863814
147,0.791682,0.791294,0.863797
148,0.791601,0.791209,0.863716
149,0.791537,0.791124,0.863634
150,0.791486,0.791057,0.863571
151,0.791457,0.791004,0.863523
152,0.791421,0.790973,0.8635
153,0.791363,0.790935,0.863471
154,0.791312,0.790874,0.86342
155,0.791255,0.790821,0.863378
156,0.791169,0.790761,0.863328
157,0.791143,0.79067,0.863247
158,0.791123,0.790643,0.863231
159,0.791098,0.790622,0.863225
160,0.791012,0.790596,0.863215
161,0.790936,0.790506,0.863139
162,0.790908,0.790426,0.863071
163,0.790883,0.790397,0.863057
164,0.79084,0.79037,0.863047
165,0.790784,0.790325,0.863019
166,0.790753,0.790266,0.862977
167,0.790701,0.790233,0.862961
168,0.790663,0.790179,0.862924
169,0.790598,0.790139,0.862901
170,0.790523,0.790071,0.862849
171,0.790498,0.789992,0.862784
172,0.790431,0.789965,0.862773
173,0.790355,0.789895,0.862717
174,0.790309,0.789815,0.862649
175,0.79029,0.789768,0.862614
176,0.79026,0.789748,0.86261
177,0.790227,0.789716,0.862593
178,0.790173,0.789681,0.862575
179,0.790087,0.789625,0.862534
180,0.790019,0.789534,0.862455
181,0.789981,0.789463,0.862395
182,0.789889,0.789423,0.862365
183,0.789832,0.789327,0.862278
184,0.789761,0.789266,0.862226
185,0.789719,0.789192,0.862159
186,0.789632,0.789148,0.862123
187,0.789606,0.789056,0.862038
188,0.789552,0.789029,0.86202
189,0.789509,0.788973,0.861973
190,0.789479,0.788927,0.861938
191,0.789429,0.788896,0.861919
192,0.789347,0.788843,0.861878
193,0.789324,0.788757,0.861802
194,0.789231,0.788733,0.86179
195,0.789197,0.788636,0.861703
196,0.789151,0.788599,0.861678
197,0.78906,0.788552,0.861642
198,0.789028,0.788456,0.861556
199,0.788999,0.788422,0.861534
200,0.788947,0.788392,0.861517
201,0.788915,0.788337,0.861476
202,0.788852,0.788304,0.861457
203,0.788815,0.788238,0.861405
204,0.788737,0.788199,0.861381
205,0.788665,0.788117,0.861312
206,0.788636,0.788042,0.861249
207,0.788615,0.78801,0.861231
208,0.788594,0.787989,0.861226
209,0.788525,0.787967,0.861221
210,0.788455,0.787895,0.861164
211,0.788396,0.787821,0.861105
212,0.788306,0.787759,0.861056
213,0.788253,0.787664,0.860972
214,0.788219,0.787609,0.860928
215,0.788193,0.787573,0.860905
216,0.788117,0.787546,0.860893
217,0.788097,0.787466,0.860826
218,0.788023,0.787445,0.860821
219,0.787995,0.787367,0.860756
220,0.787975,0.787338,0.860743
221,0.787956,0.787316,0.860739
222,0.787889,0.787297,0.860738
223,0.787798,0.787226,0.860683
224,0.787763,0.787131,0.860602
225,0.787744,0.787094,0.860579
226,0.787691,0.787074,0.860575
227,0.787626,0.787018,0.860534
228,0.787539,0.78695,0.86048
229,0.787505,0.786859,0.860399
230,0.787482,0.786823,0.860375
231,0.787455,0.786799,0.860364
232,0.787423,0.78677,0.86035
233,0.787341,0.786737,0.860331
234,0.787294,0.786651,0.860256
235,0.787207,0.786601,0.860217
236,0.787131,0.786511,0.860135
237,0.787082,0.786431,0.860061
238,0.787013,0.786379,0.860016
239,0.786955,0.786307,0.859949
240,0.786904,0.786246,0.859893
241,0.786821,0.786192,0.859846
242,0.786779,0.786105,0.859763
243,0.786755,0.786061,0.859725
244,0.78672,0.786035,0.859707
