time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799969
1,0.799886,0.799885,0.803138
2,0.799849,0.799829,0.806344
3,0.799812,0.79979,0.809381
4,0.799769,0.799752,0.811764
5,0.799745,0.79971,0.813713
6,0.799717,0.799685,0.815112
7,0.799697,0.799656,0.816999
8,0.799605,0.799636,0.819306
9,0.799561,0.799545,0.821283
10,0.799523,0.7995,0.823115
11,0.799493,0.799463,0.824624
12,0.79945,0.799433,0.826143
13,0.799358,0.79939,0.827136
14,0.799287,0.799303,0.828127
15,0.799239,0.799236,0.829561
16,0.799165,0.799189,0.830567
17,0.799109,0.799117,0.831747
18,0.799083,0.799061,0.83285
19,0.798997,0.799035,0.834144
20,0.798946,0.798952,0.835698
21,0.798863,0.798899,0.837548
22,0.798803,0.798817,0.83915
23,0.798751,0.798757,0.840881
24,0.798685,0.798708,0.842029
25,0.798637,0.798642,0.842954
26,0.798549,0.798594,0.844198
27,0.798504,0.79851,0.845033
28,0.798416,0.798463,0.846751
29,0.798368,0.798377,0.847181
30,0.798289,0.798329,0.847944
31,0.798242,0.798252,0.849081
32,0.798178,0.798202,0.850375
33,0.798121,0.798138,0.851871
34,0.798093,0.798083,0.853032
35,0.798021,0.798055,0.85458
36,0.797964,0.797985,0.85627
37,0.797914,0.797928,0.859126
38,0.797869,0.797881,0.861828
39,0.797779,0.797838,0.864576
40,0.797743,0.797747,0.867103
41,0.797699,0.797711,0.869546
42,0.797631,0.797666,0.872167
43,0.797594,0.797598,0.874582
44,0.79755,0.797561,0.87654
45,0.797485,0.79752,0.877943
46,0.79743,0.797456,0.879676
47,0.797351,0.797401,0.881812
48,0.797284,0.79732,0.883127
49,0.797206,0.797252,0.884622
50,0.797184,0.797179,0.885913
51,0.797118,0.797156,0.886831
52,0.797062,0.797091,0.886857
53,0.797003,0.797036,0.886886
54,0.79693,0.796976,0.887141
55,0.796846,0.796901,0.887546
56,0.796762,0.796815,0.887834
57,0.796741,0.796733,0.887315
58,0.796682,0.796712,0.886966
59,0.796654,0.796652,0.885852
60,0.796575,0.796623,0.884683
61,0.796485,0.796546,0.884499
62,0.796442,0.796456,0.885166
63,0.796355,0.796415,0.88606
64,0.796268,0.79633,0.886439
65,0.796228,0.796242,0.886845
66,0.796177,0.796199,0.88688
67,0.796112,0.796149,0.887257
68,0.796035,0.796083,0.887001
69,0.795988,0.796004,0.886
70,0.795923,0.795958,0.885233
71,0.795876,0.795893,0.884515
72,0.795788,0.795843,0.883685
73,0.795731,0.795756,0.883336
74,0.795654,0.795696,0.883621
75,0.795615,0.795624,0.883893
76,0.795582,0.795585,0.884552
77,0.795523,0.795551,0.885296
78,0.795447,0.795493,0.88539
79,0.795379,0.795417,0.885585
80,0.795331,0.795353,0.88573
81,0.795277,0.795305,0.885434
82,0.795233,0.79525,0.885221
83,0.795191,0.795205,0.885204
84,0.79514,0.795163,0.885124
85,0.795121,0.795114,0.884505
86,0.795062,0.795095,0.883566
87,0.795033,0.795034,0.882565
88,0.794945,0.795005,0.8807
89,0.794885,0.794919,0.879861
90,0.79485,0.794857,0.878496
91,0.794805,0.794822,0.877972
92,0.794717,0.794776,0.877326
93,0.794641,0.79469,0.877196
94,0.79456,0.794615,0.877127
95,0.794482,0.794534,0.877073
96,0.794407,0.79446,0.876741
97,0.794362,0.794384,0.876753
98,0.7943,0.794339,0.876559
99,0.794246,0.794277,0.875982
100,0.794222,0.794223,0.876301
101,0.794203,0.794201,0.877168
102,0.794164,0.794181,0.877874
103,0.794141,0.794143,0.878239
104,0.794105,0.79412,0.878235
105,0.794048,0.794085,0.878836
106,0.794018,0.794027,0.879491
107,0.793985,0.793996,0.879609
108,0.793901,0.793962,0.87979
109,0.793813,0.793878,0.879924
110,0.793722,0.79379,0.879674
111,0.793693,0.793704,0.87924
112,0.79361,0.793675,0.878981
113,0.793554,0.793592,0.878994
114,0.793513,0.793532,0.879495
115,0.793455,0.793491,0.879128
116,0.793414,0.793433,0.878897
117,0.793335,0.793391,0.878042
118,0.793245,0.793315,0.877923
119,0.793162,0.793222,0.877863
120,0.793137,0.793138,0.877328
121,0.7931,0.793112,0.877167
122,0.793022,0.793076,0.876605
123,0.792989,0.792994,0.876305
124,0.792935,0.792963,0.875595
125,0.792863,0.792908,0.875395
126,0.792814,0.792832,0.875064
127,0.792779,0.792784,0.874005
128,0.792697,0.792749,0.872619
129,0.792664,0.792668,0.871853
130,0.792637,0.792634,0.870697
131,0.792606,0.792609,0.869374
132,0.792581,0.792577,0.868609
133,0.792496,0.792553,0.867881
134,0.792472,0.792468,0.867457
135,0.792444,0.792444,0.867205
136,0.792357,0.792414,0.867469
137,0.792284,0.79233,0.867554
138,0.792232,0.792258,0.867696
139,0.792211,0.792204,0.868016
140,0.79213,0.792183,0.868334
141,0.792096,0.792102,0.868519
142,0.792017,0.792067,0.868561
143,0.791949,0.791992,0.867736
144,0.791856,0.791923,0.867325
145,0.791785,0.79183,0.866576
146,0.791763,0.791757,0.865357
147,0.791682,0.791736,0.864489
148,0.791601,0.791658,0.863891
149,0.791537,0.791576,0.863501
150,0.791486,0.791511,0.863914
151,0.791457,0.79146,0.864284
