time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799941
1,0.799886,0.799885,0.799703
2,0.799849,0.799828,0.799466
3,0.799812,0.79979,0.799248
4,0.799769,0.799753,0.799032
5,0.799745,0.79971,0.79881
6,0.799717,0.799685,0.798607
7,0.799697,0.799657,0.798401
8,0.799605,0.799637,0.798203
9,0.799561,0.799544,0.797933
10,0.799523,0.7995,0.797711
11,0.799493,0.799461,0.797495
12,0.79945,0.799431,0.797289
13,0.799358,0.799387,0.797069
14,0.799287,0.799294,0.7968
15,0.799239,0.799223,0.796555
16,0.799165,0.799174,0.796332
17,0.799109,0.7991,0.796085
18,0.799083,0.799043,0.795858
19,0.798997,0.799017,0.795662
20,0.798946,0.79893,0.795406
21,0.798863,0.798878,0.795188
22,0.798803,0.798795,0.79494
23,0.798751,0.798734,0.794717
24,0.798685,0.798682,0.794504
25,0.798637,0.798614,0.794278
26,0.798549,0.798567,0.794073
27,0.798504,0.798478,0.79383
28,0.798416,0.798432,0.793632
29,0.798368,0.798343,0.793394
30,0.798289,0.798295,0.793199
31,0.798242,0.798215,0.792975
32,0.798178,0.798167,0.792786
33,0.798121,0.798103,0.792583
34,0.798093,0.798045,0.79239
35,0.798021,0.798017,0.792229
36,0.797964,0.797944,0.792025
37,0.797914,0.797887,0.79184
38,0.797869,0.797836,0.791663
39,0.797779,0.797791,0.791495
40,0.797743,0.7977,0.791283
41,0.797699,0.797664,0.791128
42,0.797631,0.797619,0.790967
43,0.797594,0.79755,0.790784
44,0.79755,0.797513,0.790634
45,0.797485,0.797469,0.79048
46,0.79743,0.797402,0.790305
47,0.797351,0.797347,0.790142
48,0.797284,0.797267,0.789958
49,0.797206,0.7972,0.789787
50,0.797184,0.797121,0.789607
51,0.797118,0.797099,0.789486
52,0.797062,0.797032,0.789321
53,0.797003,0.796976,0.78917
54,0.79693,0.796916,0.789016
55,0.796846,0.796842,0.78885
56,0.796762,0.796758,0.788675
57,0.796741,0.796673,0.788503
58,0.796682,0.796651,0.788395
59,0.796654,0.796592,0.788252
60,0.796575,0.796563,0.788142
61,0.796485,0.796484,0.787982
62,0.796442,0.796393,0.787812
63,0.796355,0.79635,0.787692
64,0.796268,0.796261,0.787529
65,0.796228,0.796174,0.787369
66,0.796177,0.796133,0.787258
67,0.796112,0.796082,0.787139
68,0.796035,0.796017,0.787008
69,0.795988,0.795938,0.786865
70,0.795923,0.795891,0.786756
71,0.795876,0.795825,0.786631
72,0.795788,0.795778,0.786526
73,0.795731,0.795689,0.786382
74,0.795654,0.795631,0.786271
75,0.795615,0.795553,0.786142
76,0.795582,0.795514,0.786054
77,0.795523,0.795481,0.785974
78,0.795447,0.795421,0.78587
79,0.795379,0.795345,0.785751
80,0.795331,0.795276,0.785641
81,0.795277,0.795227,0.785553
82,0.795233,0.795172,0.785461
83,0.795191,0.795128,0.785382
84,0.79514,0.795086,0.785306
85,0.795121,0.795034,0.785222
86,0.795062,0.795015,0.785172
87,0.795033,0.794955,0.785081
88,0.794945,0.794926,0.785022
89,0.794885,0.794838,0.784905
90,0.79485,0.794776,0.784815
91,0.794805,0.794741,0.784753
92,0.794717,0.794696,0.78468
93,0.794641,0.794607,0.784565
94,0.79456,0.79453,0.784462
95,0.794482,0.794448,0.784355
96,0.794407,0.79437,0.784254
97,0.794362,0.794294,0.784157
98,0.7943,0.794248,0.784091
99,0.794246,0.794186,0.784011
100,0.794222,0.794131,0.783941
101,0.794203,0.794108,0.783903
102,0.794164,0.794088,0.783869
103,0.794141,0.794049,0.783818
104,0.794105,0.794025,0.783782
105,0.794048,0.793989,0.783734
106,0.794018,0.793931,0.783664
107,0.793985,0.793902,0.783622
108,0.793901,0.793868,0.783575
109,0.793813,0.793783,0.783477
110,0.793722,0.793694,0.783373
111,0.793693,0.793602,0.783268
112,0.79361,0.793573,0.783225
113,0.793554,0.793489,0.783128
114,0.793513,0.793432,0.783059
115,0.793455,0.793391,0.783006
116,0.793414,0.793333,0.782937
117,0.793335,0.793291,0.782884
118,0.793245,0.793211,0.782793
119,0.793162,0.79312,0.782692
120,0.793137,0.793037,0.7826
121,0.7931,0.793012,0.782567
122,0.793022,0.792974,0.782522
123,0.792989,0.792895,0.782437
124,0.792935,0.792862,0.782399
125,0.792863,0.792808,0.78234
126,0.792814,0.792735,0.782264
127,0.792779,0.792685,0.782211
128,0.792697,0.792649,0.782173
129,0.792664,0.792567,0.78209
130,0.792637,0.792533,0.782055
131,0.792606,0.792506,0.782027
132,0.792581,0.792475,0.781996
133,0.792496,0.792449,0.78197
134,0.792472,0.792364,0.781885
135,0.792444,0.79234,0.78186
136,0.792357,0.792311,0.781829
137,0.792284,0.792224,0.78174
138,0.792232,0.79215,0.781664
139,0.792211,0.792098,0.78161
140,0.79213,0.792076,0.781585
141,0.792096,0.791994,0.781501
142,0.792017,0.791959,0.781463
143,0.791949,0.79188,0.78138
144,0.791856,0.791811,0.781308
145,0.791785,0.791718,0.781211
146,0.791763,0.791646,0.781136
147,0.791682,0.791624,0.781113
148,0.791601,0.791542,0.781029
149,0.791537,0.79146,0.780947
150,0.791486,0.791395,0.780884
151,0.791457,0.791344,0.780834
152,0.791421,0.791315,0.780808
153,0.791363,0.791278,0.780775
154,0.791312,0.79122,0.780721
155,0.791255,0.791169,0.780675
156,0.791169,0.79111,0.780622
157,0.791143,0.791024,0.780542
158,0.791123,0.790997,0.780523
159,0.791098,0.790977,0.78051
160,0.791012,0.790952,0.780494
161,0.790936,0.790865,0.780415
162,0.790908,0.790788,0.780346
163,0.790883,0.79076,0.780327
164,0.79084,0.790735,0.78031
165,0.790784,0.790691,0.780276
166,0.790753,0.790635,0.780229
167,0.790701,0.790603,0.780205
168,0.790663,0.790551,0.780162
169,0.790598,0.790512,0.78013
170,0.790523,0.790447,0.780073
171,0.790498,0.790371,0.780004
172,0.790431,0.790346,0.779985
173,0.790355,0.790278,0.779924
174,0.790309,0.790201,0.779853
175,0.79029,0.790155,0.779814
176,0.79026,0.790136,0.779801
177,0.790227,0.790105,0.779776
178,0.790173,0.790072,0.779748
179,0.790087,0.790018,0.779698
180,0.790019,0.78993,0.779613
181,0.789981,0.789863,0.779549
182,0.789889,0.789824,0.779513
183,0.789832,0.789731,0.779423
184,0.789761,0.789673,0.779367
185,0.789719,0.789602,0.779299
186,0.789632,0.789559,0.77926
187,0.789606,0.789471,0.779175
188,0.789552,0.789445,0.779153
189,0.789509,0.789391,0.779104
190,0.789479,0.789347,0.779065
191,0.789429,0.789317,0.779041
192,0.789347,0.789266,0.778995
193,0.789324,0.789183,0.778918
194,0.789231,0.78916,0.778901
195,0.789197,0.789067,0.778813
196,0.789151,0.789031,0.778785
197,0.78906,0.788986,0.778746
198,0.789028,0.788893,0.77866
199,0.788999,0.788861,0.778636
200,0.788947,0.788832,0.778614
201,0.788915,0.788779,0.77857
202,0.788852,0.788747,0.778546
203,0.788815,0.788684,0.778491
204,0.788737,0.788646,0.778462
205,0.788665,0.788567,0.778391
206,0.788636,0.788495,0.778326
207,0.788615,0.788465,0.778305
208,0.788594,0.788445,0.778294
209,0.788525,0.788423,0.77828
210,0.788455,0.788354,0.778219
211,0.788396,0.788283,0.778156
212,0.788306,0.788223,0.778104
213,0.788253,0.788132,0.77802
214,0.788219,0.788078,0.777975
215,0.788193,0.788044,0.77795
216,0.788117,0.788018,0.777932
217,0.788097,0.787941,0.777864
218,0.788023,0.787921,0.777854
219,0.787995,0.787846,0.777788
220,0.787975,0.787818,0.777769
221,0.787956,0.787797,0.777758
222,0.787889,0.787779,0.777747
223,0.787798,0.78771,0.777687
224,0.787763,0.787619,0.777603
225,0.787744,0.787583,0.777574
226,0.787691,0.787564,0.777561
227,0.787626,0.78751,0.777514
228,0.787539,0.787445,0.777454
229,0.787505,0.787358,0.777371
230,0.787482,0.787323,0.777341
231,0.787455,0.787299,0.777322
232,0.787423,0.787272,0.777298
233,0.787341,0.78724,0.777269
234,0.787294,0.787158,0.777188
235,0.787207,0.787109,0.777141
236,0.787131,0.787022,0.777054
237,0.787082,0.786945,0.776977
238,0.787013,0.786896,0.776928
239,0.786955,0.786826,0.776859
240,0.786904,0.786768,0.776801
241,0.786821,0.786716,0.77675
242,0.786779,0.786632,0.776668
243,0.786755,0.78659,0.776627
244,0.78672,0.786565,0.776606
245,0.786688,0.78653,0.776574
246,0.786653,0.786498,0.776544
247,0.786623,0.786463,0.776511
248,0.786589,0.786432,0.776482
249,0.786563,0.786398,0.776449
250,0.78653,0.786372,0.776423
251,0.786483,0.786338,0.776388
252,0.786445,0.786291,0.776337
253,0.786359,0.786252,0.776294
254,0.786305,0.786165,0.7762
255,0.786214,0.786111,0.776138
256,0.786122,0.786019,0.776036
257,0.786043,0.785926,0.775933
258,0.785988,0.785847,0.775844
259,0.785901,0.785791,0.775778
260,0.78585,0.785703,0.775681
261,0.78583,0.785651,0.77562
262,0.785778,0.785631,0.775591
263,0.78571,0.785578,0.77553
264,0.785647,0.78551,0.775453
265,0.785576,0.785446,0.77538
266,0.785541,0.785375,0.775301
267,0.785501,0.78534,0.775259
268,0.785444,0.785299,0.775211
269,0.785372,0.785241,0.775146
270,0.785288,0.785168,0.775065
271,0.78523,0.785084,0.774974
272,0.785143,0.785026,0.77491
273,0.785105,0.784937,0.774816
274,0.785078,0.7849,0.774774
275,0.785046,0.784872,0.774744
276,0.785027,0.784839,0.774708
277,0.784949,0.78482,0.774686
278,0.784916,0.784741,0.774604
279,0.784854,0.784709,0.774569
