time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799943
1,0.799886,0.799886,0.799902
2,0.799849,0.799848,0.79988
3,0.799812,0.799811,0.799858
4,0.799769,0.799768,0.799829
5,0.799745,0.799743,0.799819
6,0.799717,0.799715,0.799804
7,0.799697,0.799695,0.799798
8,0.799605,0.799602,0.799719
9,0.799561,0.799558,0.799687
10,0.799523,0.799519,0.799661
11,0.799493,0.799489,0.799643
12,0.79945,0.799445,0.799611
13,0.799358,0.799352,0.79953
14,0.799287,0.799281,0.79947
15,0.799239,0.799232,0.799432
16,0.799165,0.799158,0.799367
17,0.799109,0.799101,0.79932
18,0.799083,0.799075,0.799303
19,0.798997,0.798988,0.799225
20,0.798946,0.798936,0.799182
21,0.798863,0.798852,0.799107
22,0.798803,0.798792,0.799054
23,0.798751,0.79874,0.79901
24,0.798685,0.798672,0.798949
25,0.798637,0.798625,0.798908
26,0.798549,0.798536,0.798827
27,0.798504,0.79849,0.798787
28,0.798416,0.798401,0.798704
29,0.798368,0.798352,0.798661
30,0.798289,0.798273,0.798587
31,0.798242,0.798225,0.798544
32,0.798178,0.798161,0.798484
33,0.798121,0.798103,0.798432
34,0.798093,0.798075,0.798408
35,0.798021,0.798002,0.79834
36,0.797964,0.797945,0.798287
37,0.797914,0.797894,0.79824
38,0.797869,0.797849,0.798199
39,0.797779,0.797758,0.798112
40,0.797743,0.797722,0.79808
41,0.797699,0.797677,0.798039
42,0.797631,0.797608,0.797974
43,0.797594,0.797571,0.79794
44,0.79755,0.797527,0.7979
45,0.797485,0.79746,0.797838
46,0.79743,0.797405,0.797786
47,0.797351,0.797325,0.79771
48,0.797284,0.797258,0.797646
49,0.797206,0.797179,0.797571
50,0.797184,0.797157,0.797551
51,0.797118,0.79709,0.797487
52,0.797062,0.797034,0.797434
53,0.797003,0.796974,0.797377
54,0.79693,0.7969,0.797306
55,0.796846,0.796816,0.797225
56,0.796762,0.796731,0.797142
57,0.796741,0.796709,0.797123
58,0.796682,0.79665,0.797065
59,0.796654,0.796621,0.797039
60,0.796575,0.796542,0.796963
61,0.796485,0.796451,0.796874
62,0.796442,0.796408,0.796832
63,0.796355,0.796319,0.796746
64,0.796268,0.796232,0.79666
65,0.796228,0.796191,0.79662
66,0.796177,0.79614,0.79657
67,0.796112,0.796075,0.796506
68,0.796035,0.795996,0.796429
69,0.795988,0.795949,0.796383
70,0.795923,0.795883,0.796318
71,0.795876,0.795836,0.796271
72,0.795788,0.795747,0.796184
73,0.795731,0.795689,0.796126
74,0.795654,0.795611,0.796049
75,0.795615,0.795572,0.79601
76,0.795582,0.795539,0.795977
77,0.795523,0.795479,0.795918
78,0.795447,0.795403,0.795842
79,0.795379,0.795334,0.795774
80,0.795331,0.795285,0.795726
81,0.795277,0.79523,0.795671
82,0.795233,0.795186,0.795627
83,0.795191,0.795144,0.795585
84,0.79514,0.795092,0.795534
85,0.795121,0.795073,0.795515
86,0.795062,0.795013,0.795456
87,0.795033,0.794984,0.795428
88,0.794945,0.794896,0.795341
89,0.794885,0.794834,0.795281
90,0.79485,0.794799,0.795246
91,0.794805,0.794754,0.795202
92,0.794717,0.794665,0.795114
93,0.794641,0.794588,0.795038
94,0.79456,0.794506,0.794957
95,0.794482,0.794428,0.794879
96,0.794407,0.794352,0.794802
97,0.794362,0.794306,0.794756
98,0.7943,0.794243,0.794693
99,0.794246,0.794189,0.794638
100,0.794222,0.794165,0.794614
101,0.794203,0.794146,0.794594
102,0.794164,0.794107,0.794556
103,0.794141,0.794083,0.794532
104,0.794105,0.794047,0.794497
105,0.794048,0.793989,0.794441
106,0.794018,0.79396,0.794412
107,0.793985,0.793926,0.79438
108,0.793901,0.793841,0.794297
109,0.793813,0.793752,0.794209
110,0.793722,0.79366,0.794118
111,0.793693,0.793631,0.79409
112,0.79361,0.793547,0.794007
113,0.793554,0.79349,0.793951
114,0.793513,0.793449,0.79391
115,0.793455,0.793391,0.793852
116,0.793414,0.793349,0.793811
117,0.793335,0.793269,0.793732
118,0.793245,0.793178,0.793641
119,0.793162,0.793095,0.793557
120,0.793137,0.79307,0.793532
121,0.7931,0.793032,0.793494
122,0.793022,0.792953,0.793415
123,0.792989,0.792919,0.793381
124,0.792935,0.792866,0.793328
125,0.792863,0.792793,0.793255
126,0.792814,0.792743,0.793205
127,0.792779,0.792707,0.793169
128,0.792697,0.792625,0.793087
129,0.792664,0.792591,0.793053
130,0.792637,0.792564,0.793026
131,0.792606,0.792533,0.792994
132,0.792581,0.792507,0.79297
133,0.792496,0.792422,0.792886
134,0.792472,0.792398,0.792862
135,0.792444,0.792369,0.792834
136,0.792357,0.792282,0.792748
137,0.792284,0.792208,0.792676
138,0.792232,0.792155,0.792624
139,0.792211,0.792134,0.792603
140,0.79213,0.792052,0.792523
141,0.792096,0.792017,0.792488
142,0.792017,0.791938,0.79241
143,0.791949,0.791869,0.792342
144,0.791856,0.791776,0.792249
145,0.791785,0.791704,0.792177
146,0.791763,0.791682,0.792155
