time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799938
1,0.799886,0.799882,0.799432
2,0.799849,0.79982,0.799331
3,0.799812,0.799784,0.799489
4,0.799769,0.799748,0.799002
5,0.799745,0.799703,0.797466
6,0.799717,0.799679,0.795226
7,0.799697,0.799649,0.794126
8,0.799605,0.799629,0.794015
9,0.799561,0.799538,0.793932
10,0.799523,0.799493,0.793648
11,0.799493,0.799454,0.79346
12,0.79945,0.799426,0.792588
13,0.799358,0.799382,0.790992
14,0.799287,0.799284,0.789506
15,0.799239,0.799215,0.788502
16,0.799165,0.799166,0.787173
17,0.799109,0.799092,0.785321
18,0.799083,0.799037,0.783432
19,0.798997,0.799009,0.782106
20,0.798946,0.798926,0.781236
21,0.798863,0.798872,0.781456
22,0.798803,0.798786,0.781599
23,0.798751,0.798729,0.781984
24,0.798685,0.798673,0.781817
25,0.798637,0.798606,0.781063
26,0.798549,0.79856,0.779498
27,0.798504,0.798468,0.779063
28,0.798416,0.798421,0.778835
29,0.798368,0.798341,0.777574
30,0.798289,0.798294,0.77683
31,0.798242,0.798214,0.776521
32,0.798178,0.798172,0.775587
33,0.798121,0.798108,0.775145
34,0.798093,0.798051,0.776028
35,0.798021,0.798024,0.777048
36,0.797964,0.797951,0.778241
37,0.797914,0.797894,0.778788
38,0.797869,0.797847,0.77949
39,0.797779,0.7978,0.780035
40,0.797743,0.797706,0.780576
41,0.797699,0.797671,0.781119
42,0.797631,0.797628,0.780583
43,0.797594,0.797557,0.779719
44,0.79755,0.79752,0.779709
45,0.797485,0.797481,0.779377
46,0.79743,0.797413,0.779495
47,0.797351,0.79736,0.780605
48,0.797284,0.797283,0.782262
49,0.797206,0.797212,0.783534
50,0.797184,0.797134,0.785322
51,0.797118,0.797112,0.786417
52,0.797062,0.797044,0.787005
53,0.797003,0.796987,0.787579
54,0.79693,0.79693,0.789514
55,0.796846,0.796858,0.790973
56,0.796762,0.796774,0.791668
57,0.796741,0.796689,0.792353
58,0.796682,0.796667,0.793609
59,0.796654,0.7966,0.793367
60,0.796575,0.796574,0.79344
61,0.796485,0.796492,0.794094
62,0.796442,0.796396,0.79498
63,0.796355,0.796352,0.795367
64,0.796268,0.796268,0.795602
65,0.796228,0.796174,0.796238
66,0.796177,0.796138,0.796718
67,0.796112,0.796089,0.796896
68,0.796035,0.796021,0.796055
69,0.795988,0.795944,0.795732
70,0.795923,0.795894,0.79572
71,0.795876,0.795834,0.796695
72,0.795788,0.795789,0.797194
73,0.795731,0.795704,0.797399
74,0.795654,0.795645,0.798273
75,0.795615,0.795569,0.79847
76,0.795582,0.795531,0.798821
77,0.795523,0.795496,0.799237
78,0.795447,0.795432,0.799676
79,0.795379,0.795358,0.800405
80,0.795331,0.795296,0.801634
81,0.795277,0.795253,0.802911
82,0.795233,0.795198,0.803364
83,0.795191,0.795153,0.8042
84,0.79514,0.795111,0.804996
85,0.795121,0.79506,0.80587
86,0.795062,0.795042,0.806012
87,0.795033,0.79498,0.805696
88,0.794945,0.794949,0.805263
89,0.794885,0.794871,0.804524
90,0.79485,0.794811,0.803485
91,0.794805,0.794778,0.803188
92,0.794717,0.794736,0.803047
93,0.794641,0.794653,0.802595
94,0.79456,0.794576,0.801378
95,0.794482,0.794493,0.800087
96,0.794407,0.79441,0.799234
97,0.794362,0.794334,0.798568
98,0.7943,0.794293,0.79835
99,0.794246,0.794232,0.798181
100,0.794222,0.794182,0.798649
101,0.794203,0.79416,0.799351
102,0.794164,0.794139,0.79981
103,0.794141,0.794101,0.800394
104,0.794105,0.794076,0.800932
105,0.794048,0.794041,0.801253
106,0.794018,0.793982,0.801691
107,0.793985,0.793953,0.80238
108,0.793901,0.793918,0.803241
109,0.793813,0.793833,0.803186
110,0.793722,0.793745,0.803219
111,0.793693,0.793653,0.803022
112,0.79361,0.793624,0.803234
113,0.793554,0.793535,0.803632
114,0.793513,0.793478,0.804102
115,0.793455,0.793437,0.803521
116,0.793414,0.79338,0.803301
117,0.793335,0.793337,0.8033
118,0.793245,0.793255,0.80406
119,0.793162,0.793166,0.804159
120,0.793137,0.793088,0.803133
121,0.7931,0.793065,0.802006
122,0.793022,0.793028,0.801289
123,0.792989,0.792944,0.800306
124,0.792935,0.792911,0.799756
125,0.792863,0.79286,0.79964
126,0.792814,0.792794,0.799308
127,0.792779,0.792741,0.798417
128,0.792697,0.792705,0.797588
129,0.792664,0.79262,0.797426
130,0.792637,0.792585,0.797012
131,0.792606,0.792558,0.796845
132,0.792581,0.792527,0.796226
133,0.792496,0.7925,0.796456
134,0.792472,0.792415,0.796743
135,0.792444,0.79239,0.797955
136,0.792357,0.79236,0.800029
137,0.792284,0.792271,0.802251
138,0.792232,0.792198,0.803511
139,0.792211,0.792147,0.804627
140,0.79213,0.792124,0.804975
141,0.792096,0.79204,0.804884
142,0.792017,0.792004,0.804745
143,0.791949,0.791923,0.803761
144,0.791856,0.791853,0.802723
145,0.791785,0.791763,0.801653
146,0.791763,0.791693,0.799818
147,0.791682,0.79167,0.798162
148,0.791601,0.791592,0.796552
149,0.791537,0.791511,0.795058
150,0.791486,0.791443,0.793881
151,0.791457,0.791389,0.79279
152,0.791421,0.791359,0.791624
153,0.791363,0.791323,0.790009
154,0.791312,0.791266,0.789231
155,0.791255,0.791213,0.789616
156,0.791169,0.791156,0.790566
157,0.791143,0.791072,0.7915
158,0.791123,0.791044,0.792323
159,0.791098,0.791024,0.793193
160,0.791012,0.791,0.79406
161,0.790936,0.790912,0.794472
162,0.790908,0.790832,0.795596
163,0.790883,0.790806,0.796064
164,0.79084,0.790781,0.796968
165,0.790784,0.790738,0.797118
166,0.790753,0.790681,0.797162
167,0.790701,0.790649,0.797653
168,0.790663,0.790599,0.7983
169,0.790598,0.790563,0.798603
170,0.790523,0.790495,0.797832
171,0.790498,0.790425,0.796748
172,0.790431,0.790399,0.795702
173,0.790355,0.790332,0.794489
174,0.790309,0.790255,0.793036
175,0.79029,0.790206,0.791675
176,0.79026,0.790185,0.790453
177,0.790227,0.790157,0.788087
178,0.790173,0.790122,0.786569
179,0.790087,0.790069,0.785104
180,0.790019,0.789978,0.784443
181,0.789981,0.789907,0.783634
182,0.789889,0.789866,0.783012
183,0.789832,0.789773,0.782829
184,0.789761,0.789718,0.783138
185,0.789719,0.789645,0.782918
186,0.789632,0.789602,0.783027
187,0.789606,0.789516,0.783086
188,0.789552,0.78949,0.782021
189,0.789509,0.789434,0.780616
190,0.789479,0.789387,0.779946
191,0.789429,0.789359,0.778234
192,0.789347,0.789307,0.775983
193,0.789324,0.789227,0.772938
194,0.789231,0.789206,0.769443
195,0.789197,0.789112,0.766459
196,0.789151,0.789079,0.763506
197,0.78906,0.789037,0.761404
198,0.789028,0.78895,0.759871
199,0.788999,0.788919,0.759081
200,0.788947,0.788891,0.758873
201,0.788915,0.788843,0.75882
202,0.788852,0.788811,0.759206
203,0.788815,0.788751,0.760195
204,0.788737,0.788713,0.761366
205,0.788665,0.788633,0.76162
206,0.788636,0.78856,0.760324
207,0.788615,0.788531,0.75922
208,0.788594,0.788511,0.758212
209,0.788525,0.78849,0.757829
210,0.788455,0.788424,0.757184
211,0.788396,0.788352,0.757086
212,0.788306,0.788298,0.75716
213,0.788253,0.788208,0.756265
214,0.788219,0.788156,0.756214
215,0.788193,0.788121,0.757331
216,0.788117,0.788097,0.757617
217,0.788097,0.788021,0.75824
218,0.788023,0.788001,0.758929
219,0.787995,0.787933,0.757285
220,0.787975,0.787907,0.755372
221,0.787956,0.787887,0.753665
222,0.787889,0.787868,0.752742
223,0.787798,0.787799,0.751584
224,0.787763,0.787707,0.751205
225,0.787744,0.787673,0.750966
226,0.787691,0.787655,0.750908
227,0.787626,0.787602,0.750093
228,0.787539,0.787542,0.748745
229,0.787505,0.787458,0.747898
230,0.787482,0.787422,0.74643
231,0.787455,0.787399,0.746243
232,0.787423,0.787373,0.746309
233,0.787341,0.787343,0.746451
234,0.787294,0.787258,0.746241
235,0.787207,0.78721,0.746311
236,0.787131,0.787129,0.746206
237,0.787082,0.78706,0.745288
238,0.787013,0.787007,0.745349
239,0.786955,0.786942,0.745396
240,0.786904,0.786882,0.746307
241,0.786821,0.786827,0.747194
242,0.786779,0.786744,0.748482
243,0.786755,0.786703,0.74905
244,0.78672,0.78668,0.74989
245,0.786688,0.786648,0.751002
246,0.786653,0.786616,0.751372
247,0.786623,0.786578,0.752424
248,0.786589,0.786548,0.752263
249,0.786563,0.786516,0.751251
250,0.78653,0.786489,0.75084
251,0.786483,0.786457,0.751324
252,0.786445,0.786409,0.75136
253,0.786359,0.786371,0.751015
254,0.786305,0.786286,0.751229
255,0.786214,0.786233,0.751415
256,0.786122,0.786133,0.751143
257,0.786043,0.786039,0.750501
258,0.785988,0.785956,0.749861
259,0.785901,0.785903,0.748347
260,0.78585,0.785812,0.746568
261,0.78583,0.785759,0.744369
262,0.785778,0.78574,0.742824
263,0.78571,0.785686,0.742271
264,0.785647,0.78562,0.742302
265,0.785576,0.785562,0.742595
266,0.785541,0.785491,0.74421
267,0.785501,0.785456,0.744371
268,0.785444,0.785415,0.744591
269,0.785372,0.785358,0.744801
270,0.785288,0.785287,0.745046
271,0.78523,0.785193,0.746193
272,0.785143,0.785139,0.746711
273,0.785105,0.785048,0.748603
274,0.785078,0.78501,0.750089
275,0.785046,0.784984,0.752459
276,0.785027,0.784952,0.755057
277,0.784949,0.784934,0.756753
278,0.784916,0.784858,0.758888
279,0.784854,0.784826,0.761362
280,0.78482,0.784768,0.763369
281,0.784796,0.784733,0.765018
282,0.784719,0.784711,0.766109
283,0.784684,0.78464,0.767048
284,0.784623,0.784606,0.768149
285,0.784567,0.784539,0.767715
286,0.784486,0.784488,0.768391
287,0.784403,0.784405,0.768238
288,0.784339,0.784326,0.768225
289,0.784264,0.784262,0.767616
290,0.784176,0.784186,0.7663
291,0.784151,0.784095,0.764802
292,0.784092,0.78407,0.764075
293,0.78403,0.784016,0.763589
294,0.784011,0.783952,0.764147
295,0.783964,0.783932,0.764343
296,0.783887,0.783886,0.764137
297,0.783857,0.783807,0.763737
298,0.783809,0.783778,0.76351
299,0.783764,0.783732,0.764241
300,0.783686,0.783686,0.765253
301,0.783628,0.783607,0.7659
302,0.783569,0.783548,0.767557
303,0.783516,0.783488,0.769666
304,0.783427,0.783436,0.771848
305,0.783384,0.783341,0.773103
306,0.783306,0.783298,0.774989
307,0.783256,0.78322,0.777298
308,0.783222,0.783174,0.779691
309,0.783177,0.783141,0.78177
310,0.783112,0.783095,0.782907
311,0.783042,0.783026,0.783584
312,0.782999,0.782952,0.784864
313,0.782974,0.782907,0.786301
314,0.78293,0.782882,0.787553
315,0.782908,0.782839,0.787494
316,0.782884,0.782817,0.786655
317,0.782801,0.782792,0.786252
318,0.782731,0.782705,0.78572
319,0.782649,0.782639,0.785576
320,0.782623,0.782554,0.785838
321,0.782586,0.782528,0.786521
322,0.782516,0.782492,0.7875
323,0.782485,0.78242,0.78889
324,0.782431,0.782391,0.789228
325,0.782367,0.782344,0.789815
326,0.782279,0.78228,0.789984
327,0.782256,0.782191,0.790747
328,0.782196,0.782169,0.790019
329,0.782136,0.7821,0.788889
330,0.782094,0.782038,0.786893
331,0.782002,0.781996,0.785491
332,0.78195,0.781902,0.783768
333,0.781884,0.781851,0.782064
334,0.781847,0.781782,0.780613
335,0.78178,0.781745,0.77979
336,0.781732,0.781677,0.779021
337,0.781657,0.78163,0.778933
338,0.781631,0.781561,0.778356
339,0.781544,0.781536,0.777918
340,0.781468,0.781447,0.778431
341,0.78144,0.781373,0.77865
342,0.781361,0.781345,0.778513
343,0.781273,0.781266,0.779232
344,0.781211,0.781177,0.778686
345,0.781147,0.781118,0.777197
346,0.78108,0.781053,0.776446
347,0.781042,0.780988,0.776403
348,0.780972,0.780953,0.775602
349,0.780888,0.780884,0.775646
350,0.780803,0.780794,0.775657
351,0.780761,0.780714,0.776404
352,0.780729,0.780672,0.777167
353,0.780691,0.780639,0.77719
354,0.780665,0.780597,0.776946
355,0.78059,0.780571,0.77629
356,0.780563,0.780498,0.776054
357,0.780536,0.780473,0.775469
358,0.78046,0.780445,0.775393
359,0.78037,0.780372,0.775354
360,0.780337,0.780284,0.775676
361,0.780262,0.780254,0.776262
362,0.780176,0.780175,0.776794
363,0.780132,0.780084,0.777107
364,0.780049,0.780039,0.776497
365,0.779974,0.779963,0.774928
366,0.77991,0.779885,0.77285
367,0.779825,0.779826,0.770002
368,0.779739,0.779741,0.766272
369,0.779699,0.779654,0.76264
370,0.779635,0.779614,0.759519
371,0.77959,0.779548,0.756371
372,0.779537,0.779503,0.754089
373,0.779497,0.779455,0.752125
374,0.779421,0.779414,0.750178
375,0.779396,0.779337,0.748999
376,0.779316,0.779314,0.747591
377,0.779279,0.77924,0.747397
378,0.779244,0.7792,0.747616
379,0.779171,0.779163,0.748167
380,0.779085,0.779087,0.748882
381,0.779027,0.779004,0.750797
382,0.779001,0.778953,0.753614
383,0.77896,0.778927,0.755762
384,0.778907,0.778885,0.758002
385,0.778825,0.778833,0.759874
386,0.778745,0.778746,0.76167
387,0.778674,0.778663,0.763036
388,0.77859,0.778592,0.764293
389,0.778499,0.778507,0.766013
390,0.778446,0.778416,0.767211
391,0.778362,0.778361,0.768377
392,0.778322,0.778281,0.767503
393,0.778276,0.77824,0.766991
394,0.778204,0.778195,0.766558
395,0.778153,0.778119,0.766461
396,0.778093,0.778066,0.767169
