time,soc_true,soc_kf,soc_fgo
0,0.799954,0.799954,0.799954
1,0.799907,0.799926,0.799926
2,0.799861,0.799898,0.799898
3,0.799815,0.799871,0.799871
4,0.799769,0.799843,0.799843
5,0.799722,0.799815,0.799815
6,0.799676,0.799787,0.799787
7,0.79963,0.79976,0.79976
8,0.799583,0.799732,0.799732
9,0.799537,0.799704,0.799704
10,0.799491,0.799676,0.799676
11,0.799444,0.799648,0.799648
12,0.799398,0.799621,0.799621
13,0.799352,0.799593,0.799593
14,0.799306,0.799565,0.799565
15,0.799259,0.799537,0.799537
16,0.799213,0.79951,0.79951
17,0.799167,0.799482,0.799482
18,0.79912,0.799454,0.799454
19,0.799074,0.799426,0.799426
20,0.799028,0.799398,0.799398
21,0.798981,0.799371,0.799371
22,0.798935,0.799343,0.799343
23,0.798889,0.799315,0.799315
24,0.798843,0.799287,0.799287
25,0.798796,0.79926,0.79926
26,0.79875,0.799232,0.799232
27,0.798704,0.799204,0.799204
28,0.798657,0.799176,0.799176
29,0.798611,0.799148,0.799148
30,0.798565,0.799121,0.799121
31,0.798519,0.799093,0.799093
32,0.798472,0.799065,0.799065
33,0.798426,0.799037,0.799037
34,0.79838,0.79901,0.79901
35,0.798333,0.798982,0.798982
36,0.798287,0.798954,0.798954
37,0.798241,0.798926,0.798926
38,0.798194,0.798898,0.798898
39,0.798148,0.798871,0.798871
40,0.798102,0.798843,0.798843
41,0.798056,0.798815,0.798815
42,0.798009,0.798787,0.798787
43,0.797963,0.79876,0.79876
44,0.797917,0.798732,0.798732
45,0.79787,0.798704,0.798704
46,0.797824,0.798676,0.798676
47,0.797778,0.798648,0.798648
48,0.797731,0.798621,0.798621
49,0.797685,0.798593,0.798593
50,0.797639,0.798565,0.798565
51,0.797593,0.798537,0.798537
52,0.797546,0.79851,0.79851
53,0.7975,0.798482,0.798482
54,0.797454,0.798454,0.798454
55,0.797407,0.798426,0.798426
56,0.797361,0.798398,0.798398
57,0.797315,0.798371,0.798371
58,0.797269,0.798343,0.798343
59,0.797222,0.798315,0.798315
60,0.797176,0.798287,0.798287
61,0.79713,0.79826,0.79826
62,0.797083,0.798232,0.798232
63,0.797037,0.798204,0.798204
64,0.796991,0.798176,0.798176
65,0.796944,0.798148,0.798148
66,0.796898,0.798121,0.798121
67,0.796852,0.798093,0.798093
68,0.796806,0.798065,0.798065
69,0.796759,0.798037,0.798037
70,0.796713,0.79801,0.79801
71,0.796667,0.797982,0.797982
72,0.79662,0.797954,0.797954
73,0.796574,0.797926,0.797926
74,0.796528,0.797898,0.797898
75,0.796481,0.797871,0.797871
76,0.796435,0.797843,0.797843
77,0.796389,0.797815,0.797815
78,0.796343,0.797787,0.797787
79,0.796296,0.79776,0.79776
80,0.79625,0.797732,0.797732
81,0.796204,0.797704,0.797704
82,0.796157,0.797676,0.797676
83,0.796111,0.797648,0.797648
84,0.796065,0.797621,0.797621
85,0.796019,0.797593,0.797593
86,0.795972,0.797565,0.797565
87,0.795926,0.797537,0.797537
88,0.79588,0.79751,0.79751
89,0.795833,0.797482,0.797482
90,0.795787,0.797454,0.797454
91,0.795741,0.797426,0.797426
92,0.795694,0.797398,0.797398
93,0.795648,0.797371,0.797371
94,0.795602,0.797343,0.797343
95,0.795556,0.797315,0.797315
96,0.795509,0.797287,0.797287
97,0.795463,0.79726,0.79726
98,0.795417,0.797232,0.797232
99,0.79537,0.797204,0.797204
100,0.795324,0.797176,0.797176
101,0.795278,0.797148,0.797148
102,0.795231,0.797121,0.797121
103,0.795185,0.797093,0.797093
104,0.795139,0.797065,0.797065
105,0.795093,0.797037,0.797037
106,0.795046,0.79701,0.79701
107,0.795,0.796982,0.796982
108,0.794954,0.796954,0.796954
109,0.794907,0.796926,0.796926
110,0.794861,0.796898,0.796898
111,0.794815,0.796871,0.796871
112,0.794769,0.796843,0.796843
113,0.794722,0.796815,0.796815
114,0.794676,0.796787,0.796787
115,0.79463,0.79676,0.79676
116,0.794583,0.796732,0.796732
117,0.794537,0.796704,0.796704
118,0.794491,0.796676,0.796676
119,0.794444,0.796648,0.796648
120,0.794398,0.796621,0.796621
121,0.794352,0.796593,0.796593
122,0.794306,0.796565,0.796565
123,0.794259,0.796537,0.796537
124,0.794213,0.79651,0.79651
125,0.794167,0.796482,0.796482
126,0.79412,0.796454,0.796454
127,0.794074,0.796426,0.796426
128,0.794028,0.796398,0.796398
129,0.793981,0.796371,0.796371
130,0.793935,0.796343,0.796343
131,0.793889,0.796315,0.796315
132,0.793843,0.796287,0.796287
133,0.793796,0.79626,0.79626
134,0.79375,0.796232,0.796232
135,0.793704,0.796204,0.796204
136,0.793657,0.796176,0.796176
137,0.793611,0.796148,0.796148
138,0.793565,0.796121,0.796121
139,0.793519,0.796093,0.796093
140,0.793472,0.796065,0.796065
141,0.793426,0.796037,0.796037
142,0.79338,0.79601,0.79601
143,0.793333,0.795982,0.795982
144,0.793287,0.795954,0.795954
145,0.793241,0.795926,0.795926
146,0.793194,0.795898,0.795898
147,0.793148,0.795871,0.795871
148,0.793102,0.795843,0.795843
149,0.793056,0.795815,0.795815
150,0.793009,0.795787,0.795787
151,0.792963,0.79576,0.79576
152,0.792917,0.795732,0.795732
153,0.79287,0.795704,0.795704
154,0.792824,0.795676,0.795676
155,0.792778,0.795648,0.795648
156,0.792731,0.795621,0.795621
157,0.792685,0.795593,0.795593
158,0.792639,0.795565,0.795565
159,0.792593,0.795537,0.795537
160,0.792546,0.79551,0.79551
161,0.7925,0.795482,0.795482
162,0.792454,0.795454,0.795454
163,0.792407,0.795426,0.795426
164,0.792361,0.795398,0.795398
165,0.792315,0.795371,0.795371
166,0.792269,0.795343,0.795343
167,0.792222,0.795315,0.795315
168,0.792176,0.795287,0.795287
169,0.79213,0.79526,0.79526
170,0.792083,0.795232,0.795232
171,0.792037,0.795204,0.795204
172,0.791991,0.795176,0.795176
173,0.791944,0.795148,0.795148
174,0.791898,0.795121,0.795121
175,0.791852,0.795093,0.795093
176,0.791806,0.795065,0.795065
177,0.791759,0.795037,0.795037
178,0.791713,0.79501,0.79501
179,0.791667,0.794982,0.794982
180,0.79162,0.794954,0.794954
181,0.791574,0.794926,0.794926
182,0.791528,0.794898,0.794898
183,0.791481,0.794871,0.794871
184,0.791435,0.794843,0.794843
185,0.791389,0.794815,0.794815
186,0.791343,0.794787,0.794787
187,0.791296,0.79476,0.79476
188,0.79125,0.794732,0.794732
189,0.791204,0.794704,0.794704
190,0.791157,0.794676,0.794676
191,0.791111,0.794648,0.794648
192,0.791065,0.794621,0.794621
193,0.791019,0.794593,0.794593
194,0.790972,0.794565,0.794565
195,0.790926,0.794537,0.794537
196,0.79088,0.79451,0.79451
197,0.790833,0.794482,0.794482
198,0.790787,0.794454,0.794454
199,0.790741,0.794426,0.794426
200,0.790694,0.794398,0.794398
201,0.790648,0.794371,0.794371
202,0.790602,0.794343,0.794343
203,0.790556,0.794315,0.794315
204,0.790509,0.794287,0.794287
205,0.790463,0.79426,0.79426
206,0.790417,0.794232,0.794232
207,0.79037,0.794204,0.794204
208,0.790324,0.794176,0.794176
209,0.790278,0.794148,0.794148
