time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799972
1,0.799886,0.799886,0.802748
2,0.799849,0.799829,0.80544
3,0.799812,0.799792,0.807949
4,0.799769,0.799755,0.809807
5,0.799745,0.799712,0.811288
6,0.799717,0.799688,0.812434
7,0.799697,0.79966,0.814049
8,0.799605,0.79964,0.815947
9,0.799561,0.799548,0.817349
10,0.799523,0.799504,0.818369
11,0.799493,0.799466,0.819328
12,0.79945,0.799436,0.820043
13,0.799358,0.799393,0.820518
14,0.799287,0.799301,0.820962
15,0.799239,0.79923,0.821635
16,0.799165,0.799182,0.822078
17,0.799109,0.799108,0.822399
18,0.799083,0.799052,0.822839
19,0.798997,0.799026,0.823506
20,0.798946,0.79894,0.824175
21,0.798863,0.798889,0.825291
22,0.798803,0.798806,0.826306
23,0.798751,0.798746,0.827801
24,0.798685,0.798694,0.829013
25,0.798637,0.798628,0.830132
26,0.798549,0.79858,0.831115
27,0.798504,0.798492,0.832475
28,0.798416,0.798447,0.834188
29,0.798368,0.798359,0.834928
30,0.798289,0.798311,0.836106
31,0.798242,0.798232,0.837191
32,0.798178,0.798185,0.838355
33,0.798121,0.798121,0.839647
34,0.798093,0.798064,0.841019
35,0.798021,0.798036,0.842484
36,0.797964,0.797964,0.843946
37,0.797914,0.797907,0.845717
38,0.797869,0.797857,0.84788
39,0.797779,0.797812,0.849639
40,0.797743,0.797722,0.851245
41,0.797699,0.797686,0.852674
42,0.797631,0.797642,0.854184
43,0.797594,0.797574,0.855714
44,0.79755,0.797537,0.857318
45,0.797485,0.797493,0.858387
46,0.79743,0.797428,0.85994
47,0.797351,0.797373,0.861938
48,0.797284,0.797294,0.863432
49,0.797206,0.797227,0.864867
50,0.797184,0.797149,0.866397
51,0.797118,0.797127,0.867896
52,0.797062,0.797061,0.868837
53,0.797003,0.797005,0.869471
54,0.79693,0.796946,0.870212
55,0.796846,0.796873,0.871131
56,0.796762,0.796789,0.871357
57,0.796741,0.796705,0.871296
58,0.796682,0.796684,0.871345
59,0.796654,0.796625,0.870683
60,0.796575,0.796597,0.869697
61,0.796485,0.796518,0.869182
62,0.796442,0.796428,0.869256
63,0.796355,0.796385,0.869574
64,0.796268,0.796298,0.869558
65,0.796228,0.796211,0.869576
66,0.796177,0.796171,0.869293
67,0.796112,0.79612,0.869166
68,0.796035,0.796055,0.868532
69,0.795988,0.795978,0.867633
70,0.795923,0.795931,0.867144
71,0.795876,0.795866,0.866927
72,0.795788,0.795819,0.866647
73,0.795731,0.795731,0.86624
74,0.795654,0.795674,0.866041
75,0.795615,0.795597,0.86591
76,0.795582,0.795558,0.866105
77,0.795523,0.795525,0.866476
78,0.795447,0.795466,0.866736
79,0.795379,0.79539,0.867286
80,0.795331,0.795322,0.868151
81,0.795277,0.795274,0.868551
