time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799939
1,0.799886,0.799886,0.799527
2,0.799849,0.799829,0.799131
3,0.799812,0.799792,0.79876
4,0.799769,0.799755,0.798356
5,0.799745,0.799712,0.797935
6,0.799717,0.799688,0.797521
7,0.799697,0.79966,0.797161
8,0.799605,0.79964,0.79685
9,0.799561,0.799548,0.796446
10,0.799523,0.799504,0.79607
11,0.799493,0.799466,0.795708
12,0.79945,0.799436,0.795347
13,0.799358,0.799393,0.794967
14,0.799287,0.799301,0.794553
15,0.799239,0.79923,0.794191
16,0.799165,0.799182,0.793842
17,0.799109,0.799108,0.793471
18,0.799083,0.799052,0.793138
19,0.798997,0.799026,0.792863
20,0.798946,0.79894,0.792544
21,0.798863,0.798889,0.792307
22,0.798803,0.798806,0.792042
23,0.798751,0.798746,0.791849
24,0.798685,0.798694,0.791649
25,0.798637,0.798628,0.791436
26,0.798549,0.79858,0.791238
27,0.798504,0.798492,0.791045
28,0.798416,0.798447,0.790929
29,0.798368,0.798359,0.790698
30,0.798289,0.798311,0.79055
31,0.798242,0.798232,0.790374
32,0.798178,0.798185,0.790241
33,0.798121,0.798121,0.79011
34,0.798093,0.798064,0.790001
35,0.798021,0.798036,0.789932
36,0.797964,0.797964,0.789828
37,0.797914,0.797907,0.789772
38,0.797869,0.797857,0.789761
39,0.797779,0.797812,0.789725
40,0.797743,0.797722,0.78964
41,0.797699,0.797686,0.789594
42,0.797631,0.797642,0.789551
43,0.797594,0.797574,0.789493
44,0.79755,0.797537,0.789473
45,0.797485,0.797493,0.789404
46,0.79743,0.797428,0.789361
47,0.797351,0.797373,0.789369
48,0.797284,0.797294,0.789314
49,0.797206,0.797227,0.789269
50,0.797184,0.797149,0.789225
51,0.797118,0.797127,0.789232
52,0.797062,0.797061,0.789152
53,0.797003,0.797005,0.789058
54,0.79693,0.796946,0.788971
55,0.796846,0.796873,0.78889
56,0.796762,0.796789,0.788741
57,0.796741,0.796705,0.788569
58,0.796682,0.796684,0.788466
59,0.796654,0.796625,0.788268
60,0.796575,0.796597,0.788072
61,0.796485,0.796518,0.787874
62,0.796442,0.796428,0.787718
63,0.796355,0.796385,0.787629
64,0.796268,0.796298,0.787472
65,0.796228,0.796211,0.787322
66,0.796177,0.796171,0.787189
67,0.796112,0.79612,0.787064
68,0.796035,0.796055,0.786883
69,0.795988,0.795978,0.786669
70,0.795923,0.795931,0.786521
71,0.795876,0.795866,0.786384
72,0.795788,0.795819,0.786258
73,0.795731,0.795731,0.786088
74,0.795654,0.795674,0.785965
75,0.795615,0.795597,0.785834
76,0.795582,0.795558,0.785768
77,0.795523,0.795525,0.785725
78,0.795447,0.795466,0.78565
79,0.795379,0.79539,0.785588
80,0.795331,0.795322,0.785563
81,0.795277,0.795274,0.785516
82,0.795233,0.79522,0.785441
83,0.795191,0.795176,0.785389
84,0.79514,0.795134,0.785301
85,0.795121,0.795083,0.785203
86,0.795062,0.795064,0.785127
87,0.795033,0.795005,0.785022
88,0.794945,0.794976,0.784905
89,0.794885,0.794888,0.784759
90,0.79485,0.794828,0.784607
91,0.794805,0.794793,0.784509
92,0.794717,0.794748,0.784388
93,0.794641,0.79466,0.78426
94,0.79456,0.794584,0.784166
95,0.794482,0.794503,0.784074
96,0.794407,0.794425,0.784
97,0.794362,0.79435,0.783938
98,0.7943,0.794305,0.783906
99,0.794246,0.794243,0.783829
100,0.794222,0.794189,0.783786
101,0.794203,0.794165,0.783787
102,0.794164,0.794146,0.78377
103,0.794141,0.794107,0.783738
104,0.794105,0.794084,0.783698
105,0.794048,0.794048,0.78366
106,0.794018,0.793991,0.783599
107,0.793985,0.793961,0.783575
108,0.793901,0.793928,0.783552
109,0.793813,0.793844,0.783465
110,0.793722,0.793756,0.78335
111,0.793693,0.793665,0.783237
112,0.79361,0.793636,0.783178
113,0.793554,0.793553,0.783106
114,0.793513,0.793497,0.783089
115,0.793455,0.793456,0.783029
116,0.793414,0.793398,0.782968
117,0.793335,0.793357,0.782878
118,0.793245,0.793278,0.782793
119,0.793162,0.793188,0.782674
120,0.793137,0.793105,0.782548
121,0.7931,0.79308,0.782503
122,0.793022,0.793043,0.782417
123,0.792989,0.792965,0.782306
124,0.792935,0.792932,0.782224
125,0.792863,0.792878,0.782149
126,0.792814,0.792806,0.782038
127,0.792779,0.792757,0.781905
128,0.792697,0.792722,0.781791
129,0.792664,0.79264,0.781673
130,0.792637,0.792607,0.781622
131,0.792606,0.79258,0.781569
132,0.792581,0.792549,0.781528
133,0.792496,0.792524,0.781503
134,0.792472,0.792439,0.781439
135,0.792444,0.792415,0.781455
136,0.792357,0.792387,0.781511
137,0.792284,0.7923,0.781498
138,0.792232,0.792227,0.781471
139,0.792211,0.792175,0.781508
140,0.79213,0.792154,0.781532
141,0.792096,0.792073,0.781453
142,0.792017,0.792039,0.781413
143,0.791949,0.79196,0.781306
144,0.791856,0.791892,0.781234
145,0.791785,0.791799,0.781132
146,0.791763,0.791728,0.781042
147,0.791682,0.791706,0.781054
148,0.791601,0.791625,0.781027
149,0.791537,0.791544,0.780985
150,0.791486,0.79148,0.78096
151,0.791457,0.791429,0.780937
152,0.791421,0.7914,0.780948
153,0.791363,0.791364,0.780949
154,0.791312,0.791306,0.78094
155,0.791255,0.791255,0.780953
156,0.791169,0.791198,0.780966
157,0.791143,0.791112,0.780928
158,0.791123,0.791086,0.780995
159,0.791098,0.791066,0.781056
160,0.791012,0.791041,0.781125
161,0.790936,0.790955,0.781113
162,0.790908,0.790879,0.78113
163,0.790883,0.790851,0.781199
164,0.79084,0.790826,0.781279
165,0.790784,0.790783,0.781346
166,0.790753,0.790727,0.781382
167,0.790701,0.790696,0.781469
168,0.790663,0.790644,0.78149
169,0.790598,0.790606,0.781496
170,0.790523,0.790541,0.781485
171,0.790498,0.790466,0.781452
172,0.790431,0.790441,0.781483
173,0.790355,0.790374,0.781421
174,0.790309,0.790298,0.781359
175,0.79029,0.790252,0.781345
176,0.79026,0.790233,0.781367
177,0.790227,0.790203,0.78129
178,0.790173,0.79017,0.7812
179,0.790087,0.790116,0.781094
180,0.790019,0.79003,0.780981
181,0.789981,0.789962,0.780876
182,0.789889,0.789924,0.780778
183,0.789832,0.789832,0.780646
184,0.789761,0.789775,0.780522
185,0.789719,0.789704,0.780398
186,0.789632,0.789662,0.780299
187,0.789606,0.789575,0.780122
188,0.789552,0.789549,0.779975
189,0.789509,0.789495,0.779803
190,0.789479,0.789452,0.779603
191,0.789429,0.789422,0.779389
192,0.789347,0.789372,0.779192
193,0.789324,0.78929,0.778973
194,0.789231,0.789267,0.778803
195,0.789197,0.789174,0.778564
196,0.789151,0.78914,0.778381
197,0.78906,0.789094,0.778194
198,0.789028,0.789003,0.777977
199,0.788999,0.788971,0.777829
200,0.788947,0.788942,0.777708
201,0.788915,0.78889,0.777594
202,0.788852,0.788858,0.777518
203,0.788815,0.788795,0.777449
204,0.788737,0.788758,0.777408
205,0.788665,0.78868,0.777327
206,0.788636,0.788608,0.77723
207,0.788615,0.788579,0.777166
208,0.788594,0.788558,0.777141
209,0.788525,0.788537,0.77713
210,0.788455,0.788468,0.777096
211,0.788396,0.788398,0.777091
212,0.788306,0.788339,0.777075
213,0.788253,0.788249,0.777051
214,0.788219,0.788196,0.777072
215,0.788193,0.788162,0.777086
216,0.788117,0.788136,0.777075
217,0.788097,0.78806,0.777035
218,0.788023,0.78804,0.77702
219,0.787995,0.787966,0.776896
220,0.787975,0.787938,0.776833
221,0.787956,0.787918,0.776796
222,0.787889,0.787899,0.776801
223,0.787798,0.787832,0.776769
224,0.787763,0.787741,0.776699
225,0.787744,0.787706,0.776667
226,0.787691,0.787687,0.776671
227,0.787626,0.787634,0.776593
228,0.787539,0.787569,0.776452
229,0.787505,0.787482,0.776306
230,0.787482,0.787448,0.776209
231,0.787455,0.787425,0.776157
232,0.787423,0.787398,0.776114
233,0.787341,0.787366,0.776052
234,0.787294,0.787284,0.775972
235,0.787207,0.787237,0.775929
236,0.787131,0.78715,0.775864
237,0.787082,0.787074,0.77576
238,0.787013,0.787025,0.775676
239,0.786955,0.786956,0.775575
240,0.786904,0.786898,0.775474
241,0.786821,0.786847,0.775403
242,0.786779,0.786764,0.775306
243,0.786755,0.786722,0.775252
244,0.78672,0.786698,0.775233
245,0.786688,0.786663,0.775193
246,0.786653,0.786631,0.775156
247,0.786623,0.786596,0.775138
248,0.786589,0.786566,0.775066
249,0.786563,0.786532,0.774941
250,0.78653,0.786506,0.774863
251,0.786483,0.786473,0.774791
252,0.786445,0.786426,0.774733
253,0.786359,0.786388,0.774678
254,0.786305,0.786302,0.774591
255,0.786214,0.786248,0.774547
256,0.786122,0.786157,0.774486
257,0.786043,0.786065,0.774401
258,0.785988,0.785986,0.774345
259,0.785901,0.785931,0.774292
260,0.78585,0.785844,0.774272
261,0.78583,0.785793,0.774245
262,0.785778,0.785773,0.774237
263,0.78571,0.785721,0.774227
264,0.785647,0.785653,0.774225
265,0.785576,0.78559,0.774206
266,0.785541,0.785519,0.774218
267,0.785501,0.785484,0.774243
268,0.785444,0.785444,0.774304
269,0.785372,0.785387,0.774327
270,0.785288,0.785315,0.774346
271,0.78523,0.785231,0.774349
272,0.785143,0.785173,0.774389
273,0.785105,0.785086,0.774433
274,0.785078,0.785048,0.774523
275,0.785046,0.785021,0.774608
276,0.785027,0.784989,0.774694
277,0.784949,0.78497,0.774784
278,0.784916,0.784892,0.774774
279,0.784854,0.784859,0.774836
280,0.78482,0.784797,0.774865
281,0.784796,0.784763,0.774916
282,0.784719,0.784739,0.774932
283,0.784684,0.784662,0.774914
284,0.784623,0.784627,0.774919
285,0.784567,0.784566,0.774867
286,0.784486,0.78451,0.774842
287,0.784403,0.784429,0.774783
288,0.784339,0.784346,0.774751
289,0.784264,0.784282,0.774716
290,0.784176,0.784207,0.774654
291,0.784151,0.784119,0.774599
292,0.784092,0.784094,0.774638
293,0.78403,0.784035,0.774661
294,0.784011,0.783973,0.774711
295,0.783964,0.783954,0.774755
296,0.783887,0.783907,0.77476
297,0.783857,0.78383,0.77476
298,0.783809,0.7838,0.774848
299,0.783764,0.783752,0.774922
300,0.783686,0.783707,0.775003
301,0.783628,0.783629,0.77499
302,0.783569,0.783571,0.775031
303,0.783516,0.783512,0.775078
304,0.783427,0.783459,0.775144
305,0.783384,0.78337,0.775175
306,0.783306,0.783327,0.775264
307,0.783256,0.783249,0.775309
308,0.783222,0.783199,0.77536
309,0.783177,0.783165,0.775421
310,0.783112,0.78312,0.77545
311,0.783042,0.783055,0.775416
312,0.782999,0.782985,0.775367
313,0.782974,0.782942,0.775292
314,0.78293,0.782917,0.77523
315,0.782908,0.782873,0.775076
316,0.782884,0.782851,0.774963
317,0.782801,0.782827,0.774831
318,0.782731,0.782744,0.774644
319,0.782649,0.782674,0.774454
320,0.782623,0.782592,0.77425
321,0.782586,0.782566,0.774088
322,0.782516,0.782529,0.773928
323,0.782485,0.782459,0.773736
324,0.782431,0.782428,0.773603
325,0.782367,0.782374,0.773448
326,0.782279,0.78231,0.773295
327,0.782256,0.782222,0.773148
328,0.782196,0.782199,0.773027
329,0.782136,0.782139,0.772851
330,0.782094,0.782079,0.772629
331,0.782002,0.782037,0.772453
332,0.78195,0.781945,0.772251
333,0.781884,0.781893,0.772104
334,0.781847,0.781827,0.77195
335,0.78178,0.78179,0.771827
336,0.781732,0.781723,0.771668
337,0.781657,0.781675,0.771578
338,0.781631,0.7816,0.771461
339,0.781544,0.781574,0.771388
340,0.781468,0.781487,0.77125
341,0.78144,0.781411,0.771127
342,0.781361,0.781383,0.771082
343,0.781273,0.781304,0.770984
344,0.781211,0.781216,0.770851
345,0.781147,0.781154,0.770723
346,0.78108,0.78109,0.770634
347,0.781042,0.781023,0.770553
348,0.780972,0.780985,0.77048
349,0.780888,0.780915,0.77039
350,0.780803,0.780831,0.770246
351,0.780761,0.780746,0.770101
352,0.780729,0.780704,0.769999
353,0.780691,0.780672,0.76991
354,0.780665,0.780634,0.769809
355,0.78059,0.780608,0.769731
356,0.780563,0.780533,0.76963
357,0.780536,0.780506,0.76954
358,0.78046,0.780479,0.769431
359,0.78037,0.780403,0.769272
360,0.780337,0.780313,0.769092
361,0.780262,0.78028,0.76898
362,0.780176,0.780205,0.768807
363,0.780132,0.780119,0.768583
364,0.780049,0.780075,0.768414
365,0.779974,0.779992,0.768206
366,0.77991,0.779917,0.768026
367,0.779825,0.779853,0.767874
368,0.779739,0.779768,0.767693
369,0.779699,0.779682,0.767517
370,0.779635,0.779642,0.767427
371,0.77959,0.779578,0.767326
372,0.779537,0.779533,0.767316
373,0.779497,0.77948,0.767269
374,0.779421,0.77944,0.767256
375,0.779396,0.779364,0.767196
376,0.779316,0.779339,0.767173
377,0.779279,0.779259,0.767163
378,0.779244,0.779222,0.767232
379,0.779171,0.779187,0.767348
380,0.779085,0.779114,0.767431
381,0.779027,0.779028,0.767528
382,0.779001,0.77897,0.767675
383,0.77896,0.778944,0.767818
384,0.778907,0.778903,0.767928
385,0.778825,0.77885,0.768027
386,0.778745,0.778768,0.768097
387,0.778674,0.778688,0.76812
388,0.77859,0.778617,0.768164
389,0.778499,0.778533,0.768208
390,0.778446,0.778442,0.768221
391,0.778362,0.778389,0.768246
392,0.778322,0.778305,0.768191
393,0.778276,0.778265,0.768151
394,0.778204,0.778219,0.768097
395,0.778153,0.778147,0.768042
396,0.778093,0.778096,0.768013
397,0.778026,0.778036,0.767993
398,0.777959,0.777969,0.767939
399,0.777939,0.777902,0.767871
400,0.777884,0.777882,0.767859
401,0.777863,0.777827,0.76778
402,0.777814,0.777806,0.767695
403,0.77776,0.777757,0.767609
404,0.77774,0.777703,0.7675
405,0.777682,0.777683,0.767419
406,0.77761,0.777625,0.767289
407,0.777586,0.777553,0.767154
408,0.777503,0.777529,0.767056
409,0.777458,0.777446,0.76688
410,0.777433,0.777401,0.766777
411,0.777382,0.777376,0.766717
412,0.777321,0.777325,0.766618
413,0.777278,0.777264,0.766513
414,0.777209,0.777221,0.766433
415,0.777131,0.777152,0.766307
416,0.777068,0.777074,0.766158
417,0.77701,0.777011,0.765907
418,0.776921,0.776953,0.765699
419,0.776858,0.776864,0.765451
420,0.776798,0.776801,0.765268
421,0.776747,0.776741,0.765171
422,0.776704,0.77669,0.76507
423,0.77665,0.776647,0.765011
424,0.776597,0.776593,0.764944
425,0.776569,0.77654,0.764872
426,0.776539,0.776512,0.764804
427,0.776464,0.776482,0.764731
428,0.776427,0.776407,0.764635
429,0.776381,0.77637,0.764594
430,0.776355,0.776324,0.764557
431,0.776302,0.776298,0.764548
432,0.776259,0.776245,0.764525
433,0.776227,0.776202,0.764536
434,0.776168,0.77617,0.764586
435,0.776148,0.776111,0.764616
436,0.776073,0.776091,0.764658
437,0.776003,0.776016,0.76463
438,0.775945,0.775946,0.764613
439,0.775904,0.775888,0.764547
440,0.775851,0.775847,0.764473
441,0.775786,0.775794,0.76445
442,0.775732,0.775729,0.764363
443,0.775646,0.775675,0.764262
444,0.775591,0.775589,0.76421
445,0.775546,0.775534,0.764139
446,0.775474,0.775489,0.76408
447,0.77542,0.775417,0.764034
448,0.775345,0.775363,0.763976
449,0.775268,0.775288,0.763899
450,0.775211,0.775211,0.76381
451,0.775179,0.775154,0.763726
452,0.775116,0.775122,0.763637
453,0.775055,0.775059,0.763494
454,0.775001,0.774998,0.763352
455,0.774922,0.774944,0.763284
456,0.77489,0.774865,0.763188
457,0.774856,0.774833,0.763142
458,0.77478,0.774799,0.763053
459,0.774756,0.774723,0.762906
460,0.774698,0.774699,0.762808
461,0.774622,0.774641,0.762692
462,0.774534,0.774565,0.762555
463,0.774504,0.774477,0.762439
464,0.774434,0.774447,0.762388
465,0.774364,0.774377,0.762292
466,0.774325,0.774307,0.762193
467,0.774252,0.774268,0.762134
468,0.774176,0.774195,0.762033
469,0.774118,0.774119,0.761877
470,0.774038,0.774061,0.761783
471,0.773995,0.773981,0.761676
472,0.773972,0.773938,0.761618
473,0.773892,0.773915,0.761614
474,0.773803,0.773835,0.761552
475,0.773772,0.773746,0.761472
476,0.773691,0.773715,0.761425
