time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799932
1,0.799886,0.799886,0.798865
2,0.799849,0.799829,0.797877
3,0.799812,0.799792,0.796931
4,0.799769,0.799755,0.795812
5,0.799745,0.799712,0.794626
6,0.799717,0.799688,0.7934
7,0.799697,0.79966,0.792461
8,0.799605,0.79964,0.791733
9,0.799561,0.799548,0.790829
10,0.799523,0.799504,0.789862
11,0.799493,0.799466,0.788944
12,0.79945,0.799436,0.787991
13,0.799358,0.799393,0.786992
14,0.799287,0.799301,0.786013
15,0.799239,0.79923,0.785207
16,0.799165,0.799182,0.784369
17,0.799109,0.799108,0.783517
18,0.799083,0.799052,0.78278
19,0.798997,0.799026,0.782209
20,0.798946,0.79894,0.781654
21,0.798863,0.798889,0.781363
22,0.798803,0.798806,0.781053
23,0.798751,0.798746,0.781012
24,0.798685,0.798694,0.780887
25,0.798637,0.798628,0.780748
26,0.798549,0.79858,0.780594
27,0.798504,0.798492,0.78062
28,0.798416,0.798447,0.78086
29,0.798368,0.798359,0.780668
30,0.798289,0.798311,0.780724
31,0.798242,0.798232,0.780748
32,0.798178,0.798185,0.780851
33,0.798121,0.798121,0.781026
34,0.798093,0.798064,0.781263
35,0.798021,0.798036,0.78158
36,0.797964,0.797964,0.781891
37,0.797914,0.797907,0.782368
38,0.797869,0.797857,0.783041
39,0.797779,0.797812,0.783554
40,0.797743,0.797722,0.783988
41,0.797699,0.797686,0.784388
42,0.797631,0.797642,0.784833
43,0.797594,0.797574,0.785284
44,0.79755,0.797537,0.785797
45,0.797485,0.797493,0.78608
46,0.79743,0.797428,0.786574
47,0.797351,0.797373,0.787277
48,0.797284,0.797294,0.787754
49,0.797206,0.797227,0.788218
50,0.797184,0.797149,0.788724
51,0.797118,0.797127,0.789253
52,0.797062,0.797061,0.789518
53,0.797003,0.797005,0.789659
54,0.79693,0.796946,0.789848
55,0.796846,0.796873,0.79011
56,0.796762,0.796789,0.790067
57,0.796741,0.796705,0.789902
58,0.796682,0.796684,0.789823
59,0.796654,0.796625,0.789414
60,0.796575,0.796597,0.788884
61,0.796485,0.796518,0.788534
62,0.796442,0.796428,0.788437
63,0.796355,0.796385,0.788476
64,0.796268,0.796298,0.788347
65,0.796228,0.796211,0.788235
66,0.796177,0.796171,0.788019
67,0.796112,0.79612,0.787868
68,0.796035,0.796055,0.787489
69,0.795988,0.795978,0.786988
70,0.795923,0.795931,0.786687
71,0.795876,0.795866,0.786498
72,0.795788,0.795819,0.786294
73,0.795731,0.795731,0.786014
74,0.795654,0.795674,0.785845
75,0.795615,0.795597,0.785698
76,0.795582,0.795558,0.785719
77,0.795523,0.795525,0.785823
78,0.795447,0.795466,0.785865
79,0.795379,0.79539,0.786028
80,0.795331,0.795322,0.786336
81,0.795277,0.795274,0.786452
82,0.795233,0.79522,0.786444
83,0.795191,0.795176,0.786497
84,0.79514,0.795134,0.786362
85,0.795121,0.795083,0.786208
86,0.795062,0.795064,0.786033
87,0.795033,0.795005,0.785869
88,0.794945,0.794976,0.785522
89,0.794885,0.794888,0.785262
90,0.79485,0.794828,0.784862
91,0.794805,0.794793,0.784625
92,0.794717,0.794748,0.784311
93,0.794641,0.79466,0.784132
94,0.79456,0.794584,0.784073
95,0.794482,0.794503,0.784035
96,0.794407,0.794425,0.784066
97,0.794362,0.79435,0.784142
98,0.7943,0.794305,0.78424
99,0.794246,0.794243,0.78417
100,0.794222,0.794189,0.784231
101,0.794203,0.794165,0.784389
102,0.794164,0.794146,0.784436
103,0.794141,0.794107,0.784482
104,0.794105,0.794084,0.784429
105,0.794048,0.794048,0.784434
106,0.794018,0.793991,0.78441
107,0.793985,0.793961,0.784466
108,0.793901,0.793928,0.784543
109,0.793813,0.793844,0.784499
110,0.793722,0.793756,0.784341
111,0.793693,0.793665,0.784195
112,0.79361,0.793636,0.78407
113,0.793554,0.793553,0.784093
114,0.793513,0.793497,0.784283
115,0.793455,0.793456,0.784195
116,0.793414,0.793398,0.784166
117,0.793335,0.793357,0.783931
118,0.793245,0.793278,0.783864
119,0.793162,0.793188,0.78367
120,0.793137,0.793105,0.783405
121,0.7931,0.79308,0.783309
122,0.793022,0.793043,0.783054
123,0.792989,0.792965,0.782832
124,0.792935,0.792932,0.782578
125,0.792863,0.792878,0.78243
126,0.792814,0.792806,0.782178
127,0.792779,0.792757,0.781724
128,0.792697,0.792722,0.781303
129,0.792664,0.79264,0.781039
130,0.792637,0.792607,0.780921
131,0.792606,0.79258,0.780769
132,0.792581,0.792549,0.780686
133,0.792496,0.792524,0.78067
134,0.792472,0.792439,0.780688
135,0.792444,0.792415,0.780875
136,0.792357,0.792387,0.781278
137,0.792284,0.7923,0.78157
138,0.792232,0.792227,0.781738
139,0.792211,0.792175,0.782146
140,0.79213,0.792154,0.782367
141,0.792096,0.792073,0.782307
142,0.792017,0.792039,0.782262
143,0.791949,0.79196,0.782058
144,0.791856,0.791892,0.781986
145,0.791785,0.791799,0.78186
146,0.791763,0.791728,0.781708
147,0.791682,0.791706,0.781863
148,0.791601,0.791625,0.782053
149,0.791537,0.791544,0.782164
150,0.791486,0.79148,0.782291
151,0.791457,0.791429,0.782367
152,0.791421,0.7914,0.782522
153,0.791363,0.791364,0.782657
154,0.791312,0.791306,0.78282
155,0.791255,0.791255,0.783064
156,0.791169,0.791198,0.783333
157,0.791143,0.791112,0.783461
158,0.791123,0.791086,0.783865
159,0.791098,0.791066,0.784215
160,0.791012,0.791041,0.78462
161,0.790936,0.790955,0.784868
162,0.790908,0.790879,0.785221
163,0.790883,0.790851,0.785634
164,0.79084,0.790826,0.786093
165,0.790784,0.790783,0.786558
166,0.790753,0.790727,0.786924
167,0.790701,0.790696,0.787442
168,0.790663,0.790644,0.787719
169,0.790598,0.790606,0.787871
170,0.790523,0.790541,0.788044
171,0.790498,0.790466,0.788151
172,0.790431,0.790441,0.788375
173,0.790355,0.790374,0.788311
174,0.790309,0.790298,0.788278
175,0.79029,0.790252,0.788359
176,0.79026,0.790233,0.788515
177,0.790227,0.790203,0.788236
178,0.790173,0.79017,0.78791
179,0.790087,0.790116,0.787585
180,0.790019,0.79003,0.787355
181,0.789981,0.789962,0.787086
182,0.789889,0.789924,0.786745
183,0.789832,0.789832,0.78644
184,0.789761,0.789775,0.786044
185,0.789719,0.789704,0.785692
186,0.789632,0.789662,0.785348
187,0.789606,0.789575,0.784797
188,0.789552,0.789549,0.784152
189,0.789509,0.789495,0.78349
190,0.789479,0.789452,0.782644
191,0.789429,0.789422,0.781679
192,0.789347,0.789372,0.780877
193,0.789324,0.78929,0.780092
