time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799945
1,0.799886,0.799881,0.800045
2,0.799849,0.79984,0.800158
3,0.799812,0.799799,0.800268
4,0.799769,0.799752,0.800367
5,0.799745,0.799726,0.800482
6,0.799717,0.799695,0.800591
7,0.799697,0.799673,0.800708
8,0.799605,0.799572,0.800744
9,0.799561,0.799523,0.800823
10,0.799523,0.799481,0.800904
11,0.799493,0.799448,0.800993
12,0.79945,0.799401,0.801067
13,0.799358,0.7993,0.801084
14,0.799287,0.799222,0.801116
15,0.799239,0.799169,0.801167
16,0.799165,0.799088,0.801187
17,0.799109,0.799026,0.801221
18,0.799083,0.798997,0.801285
19,0.798997,0.798902,0.801283
20,0.798946,0.798846,0.801313
21,0.798863,0.798755,0.801306
22,0.798803,0.798689,0.801319
23,0.798751,0.798633,0.801337
24,0.798685,0.798559,0.801337
25,0.798637,0.798507,0.801354
26,0.798549,0.798411,0.801326
27,0.798504,0.79836,0.801338
28,0.798416,0.798264,0.801303
29,0.798368,0.798211,0.801306
30,0.798289,0.798124,0.801274
31,0.798242,0.798072,0.801272
32,0.798178,0.798002,0.801251
33,0.798121,0.797939,0.801236
34,0.798093,0.797909,0.80125
35,0.798021,0.797829,0.801219
36,0.797964,0.797767,0.8012
37,0.797914,0.797711,0.801188
38,0.797869,0.797662,0.801181
39,0.797779,0.797563,0.801125
40,0.797743,0.797524,0.801123
41,0.797699,0.797475,0.801114
42,0.797631,0.7974,0.801078
43,0.797594,0.797359,0.801074
44,0.79755,0.797311,0.801065
45,0.797485,0.797239,0.801033
46,0.79743,0.797179,0.80101
47,0.797351,0.797092,0.800961
48,0.797284,0.797019,0.800922
49,0.797206,0.796933,0.800868
50,0.797184,0.796908,0.800872
51,0.797118,0.796835,0.800831
52,0.797062,0.796774,0.800801
53,0.797003,0.796709,0.800766
54,0.79693,0.796629,0.800715
55,0.796846,0.796537,0.80065
56,0.796762,0.796444,0.80058
57,0.796741,0.796421,0.800576
58,0.796682,0.796356,0.800534
59,0.796654,0.796325,0.800526
60,0.796575,0.796239,0.800466
61,0.796485,0.79614,0.80039
62,0.796442,0.796092,0.800361
63,0.796355,0.795996,0.800284
64,0.796268,0.795901,0.800204
65,0.796228,0.795856,0.800171
66,0.796177,0.795801,0.800129
67,0.796112,0.79573,0.800071
68,0.796035,0.795644,0.799998
69,0.795988,0.795593,0.799955
70,0.795923,0.795522,0.799895
71,0.795876,0.79547,0.799851
72,0.795788,0.795373,0.799765
73,0.795731,0.79531,0.799707
74,0.795654,0.795225,0.799628
75,0.795615,0.795183,0.799587
76,0.795582,0.795146,0.799555
77,0.795523,0.795081,0.799497
78,0.795447,0.794998,0.79942
79,0.795379,0.794923,0.799349
80,0.795331,0.79487,0.799298
81,0.795277,0.79481,0.79924
82,0.795233,0.794762,0.799194
83,0.795191,0.794716,0.799152
84,0.79514,0.79466,0.799101
85,0.795121,0.794639,0.799086
86,0.795062,0.794574,0.799032
87,0.795033,0.794542,0.79901
88,0.794945,0.794446,0.798927
89,0.794885,0.794379,0.798869
90,0.79485,0.794341,0.798839
