time,current,voltage,soc_true
0,0.61967,3.94313,0.799943
1,0.609854,3.96106,0.799886
2,0.405681,4.01374,0.799849
3,0.397926,4.16656,0.799812
4,0.458659,4.07293,0.799769
5,0.262666,4.07806,0.799745
6,0.304807,3.8017,0.799717
7,0.209854,3.87538,0.799697
8,0.994808,4.07047,0.799605
9,0.475379,4.10036,0.799561
10,0.41369,3.98333,0.799523
11,0.32616,4.05117,0.799493
12,0.463423,4.03654,0.79945
13,0.994642,3.92922,0.799358
14,0.761251,3.87757,0.799287
15,0.519507,4.04403,0.799239
16,0.797617,3.97888,0.799165
17,0.60538,3.92285,0.799109
18,0.282822,3.90779,0.799083
19,0.932098,3.92038,0.798997
20,0.552659,3.82456,0.798946
21,0.892414,3.96864,0.798863
22,0.645996,3.80698,0.798803
23,0.557259,4.06259,0.798751
24,0.722024,3.98471,0.798685
25,0.510606,4.02208,0.798637
26,0.948932,3.81111,0.798549
27,0.492531,3.87059,0.798504
28,0.948451,4.26404,0.798416
29,0.520254,3.84283,0.798368
30,0.849938,3.98191,0.798289
31,0.509172,3.96324,0.798242
32,0.693233,3.92314,0.798178
33,0.611342,3.95273,0.798121
34,0.301737,3.97272,0.798093
35,0.780596,3.95801,0.798021
36,0.614089,3.88429,0.797964
37,0.543444,3.85945,0.797914
38,0.482126,4.12954,0.797869
39,0.971907,4.00714,0.797779
40,0.386518,4.07929,0.797743
41,0.475391,3.96922,0.797699
42,0.739675,3.97372,0.797631
43,0.400117,3.9925,0.797594
44,0.470066,4.18129,0.79755
45,0.709832,3.82584,0.797485
46,0.594143,3.85765,0.79743
47,0.852608,4.15171,0.797351
48,0.719522,4.02394,0.797284
49,0.841505,3.96021,0.797206
50,0.239577,4.05681,0.797184
51,0.71685,4.17654,0.797118
52,0.598899,4.11878,0.797062
53,0.64258,3.97453,0.797003
54,0.786387,3.94062,0.79693
55,0.903437,4.22787,0.796846
56,0.907037,4.09585,0.796762
57,0.229534,4.01835,0.796741
58,0.638456,4.23809,0.796682
59,0.303708,4.14802,0.796654
60,0.844587,3.82758,0.796575
61,0.975172,3.79389,0.796485
62,0.464461,3.95432,0.796442
63,0.943577,4.09258,0.796355
64,0.937871,3.98571,0.796268
65,0.436723,4.13759,0.796228
66,0.542797,3.96053,0.796177
67,0.699768,4.17215,0.796112
68,0.840867,4.08439,0.796035
69,0.504266,3.8896,0.795988
70,0.698798,3.90886,0.795923
71,0.510937,4.04152,0.795876
72,0.945881,4.0217,0.795788
73,0.620444,3.9491,0.795731
74,0.832707,3.96858,0.795654
75,0.417847,3.92213,0.795615
